symbol,entry_date,is_loss,entry_rsi14,atr_pct,vol_surge,entry_month,entry_year,holding_days,sector,ret_pct,mfe_r_multiple
ASHOKLEY,2026-01-22,False,65.1,2.78,1.2,1,2026,10,NIFTY AUTO,0.3897078225452155,1.69
BAJAJ-AUTO,2026-02-03,False,58.3,2.59,1.57,2,2026,13,NIFTY AUTO,0.6783093343765367,1.39
FEDERALBNK,2026-02-11,True,64.0,2.64,1.24,2,2026,6,NIFTY MS FIN SERV,-2.4943457556748427,0.39
SBIN,2026-02-09,False,72.9,2.56,3.4,2,2026,16,NIFTY PSU BANK,5.0067235022235534,3.02
BHARATFORG,2026-03-05,True,72.4,2.94,1.47,3,2026,4,NIFTY AUTO,-1.5944031718960303,0.67
TORNTPHARM,2026-03-10,True,67.7,2.29,0.87,3,2026,6,NIFTY PHARMA,-1.7436656449697052,0.54
COALINDIA,2026-03-20,True,63.8,2.76,1.79,3,2026,3,NIFTY ENERGY,-2.7551574534372514,0.33
ADANIPOWER,2026-04-01,True,62.4,3.85,1.51,4,2026,1,NIFTY COMMODITIES,-3.8480344918748632,0.54
HINDZINC,2026-04-27,True,67.0,3.44,3.16,4,2026,2,NIFTY METAL,-3.400784172231764,0.25
NMDC,2026-04-24,True,66.8,2.91,1.27,4,2026,10,NIFTY METAL,-0.0502991761119564,1.34
GVT&D,2026-05-05,False,70.7,3.88,1.47,5,2026,6,NIFTY ENERGY,0.2417879129469557,1.52
NAM-INDIA,2026-05-05,False,62.7,4.2,0.69,5,2026,6,NIFTY CAPITAL MKT,1.2352001926512646,1.47
CGPOWER,2026-05-07,True,71.3,3.25,3.17,5,2026,5,NIFTY ENERGY,-1.5318366769334737,0.99
HINDZINC,2026-05-12,False,65.1,3.09,1.79,5,2026,3,NIFTY METAL,1.0787347133011993,1.83
BHEL,2026-05-14,True,78.7,3.68,0.84,5,2026,1,NIFTY ENERGY,-3.681111084720423,0.31
ADANIGREEN,2026-05-14,True,74.4,3.88,0.97,5,2026,4,NIFTY COMMODITIES,-3.884563103678529,1.02
BSE,2026-05-14,False,76.7,2.77,1.59,5,2026,13,NIFTY MS FIN SERV,6.119168646082906,3.65
ADANIPOWER,2026-05-25,False,69.6,3.7,1.67,5,2026,7,NIFTY COMMODITIES,2.865543837993956,2.41
SAIL,2026-05-19,False,66.1,3.69,1.29,5,2026,16,NIFTY METAL,0.3338313234334755,1.28
