symbol,signal_date,rsi,rsi_gt_58,vol_gt_sma20,vol_gt_sma50,ret_pct
INOXWIND,2021-08-12,60.29638031195672,True,False,False,-4.017237467171664
FORTIS,2021-08-27,75.614243907888,True,True,True,-9.73429082513272
GODREJCP,2021-08-20,69.93721903677748,True,True,True,-5.188029975146224
ADANIENSOL,2021-11-03,61.18904957790812,True,True,False,7.269279279163587
PGEL,2021-11-23,52.17609999623143,False,True,False,14.047656449352507
KEI,2021-12-14,56.7074828058281,False,False,False,-3.164145833529397
TECHM,2022-01-11,57.01113582755315,False,False,True,-1.648783792540942
SIEMENS,2022-01-14,57.16196319676196,False,True,True,-2.9725548220475573
BSE,2022-01-06,55.078603461738574,False,False,False,-2.230216717845668
PIDILITIND,2022-01-21,67.37350681448945,True,True,True,-2.130302343975987
NTPC,2022-01-25,59.96397121108269,True,False,False,-2.080325480522172
ADANIENSOL,2022-02-22,51.0430080565805,False,False,False,-1.7082364981843678
NATIONALUM,2022-02-22,51.33044966149135,False,True,True,-0.415985378239081
MARUTI,2022-01-25,69.8609516333802,True,True,True,-7.193574386425594
POWERGRID,2022-03-28,54.811107758945916,False,False,False,4.558495377749439
BAJAJ-AUTO,2022-04-25,51.55608496770346,False,True,True,2.233180569257698
ASHOKLEY,2022-06-07,59.87236849156465,True,False,False,-3.051649912859056
CONCOR,2022-06-09,56.454936901688114,False,True,True,-4.340180637012681
EICHERMOT,2022-06-09,57.045859431730136,False,False,False,-1.8892955948424217
HAL,2022-06-14,63.61794404424242,True,False,False,-2.805880531790761
ASHOKLEY,2022-07-15,56.876491600407014,False,False,False,3.2466048285698657
ITC,2022-07-01,68.66178885236258,True,True,True,10.305135980396196
KEI,2022-08-29,66.64762178864225,True,False,False,7.014175708294612
PHOENIXLTD,2022-09-12,61.12230391551964,True,False,False,-2.8498325998286838
COLPAL,2022-08-29,64.3326139845413,True,True,True,-3.999263659942309
ADANIPOWER,2022-08-29,62.32831670269811,True,False,False,-5.003834676929642
ITC,2022-09-19,70.85246922645673,True,True,True,-3.009433322084154
EICHERMOT,2022-09-30,60.61609162881377,True,False,False,-4.86288809900387
360ONE,2022-09-30,59.77236241210179,True,False,True,-4.226129494566511
BRITANNIA,2022-10-20,53.12398575913988,False,False,False,-1.0244579319169222
CGPOWER,2022-11-10,54.39890807968188,False,False,False,4.247104247104239
ABCAPITAL,2022-11-21,61.648750514549036,True,False,False,3.721154829437334
COCHINSHIP,2022-11-22,62.90032365092406,True,True,True,-5.7327582576099605
BANKBARODA,2022-12-20,63.75043944913852,True,False,False,-2.107130156469872
BANKINDIA,2022-12-26,52.858537739663234,False,True,True,-1.870242534727018
VBL,2022-12-29,56.27888381635245,False,False,False,-2.442257366478251
GODFRYPHLP,2022-12-28,52.6633186106483,False,False,False,10.308138099658958
IDFCFIRSTB,2023-01-11,53.30145892031965,False,False,False,-1.803295698925389
JSWSTEEL,2022-11-29,64.62498052463775,True,True,True,-3.400752762902437
HINDZINC,2023-02-02,52.35774732194145,False,True,True,-1.8331501515990607
TCS,2023-02-15,61.49600082304261,True,False,False,-1.6899961422649934
LT,2023-02-10,52.03168692713641,False,False,False,-1.009684322842641
PFC,2023-02-28,49.866202184446166,False,True,False,10.478696889298943
POLYCAB,2023-05-11,61.854913683356,True,True,True,5.501113255365775
LT,2023-04-05,64.09501754893458,True,True,True,-4.050311280326735
COFORGE,2023-05-25,61.75491517146239,True,False,False,5.440501313390533
GLENMARK,2023-05-31,61.96206890237892,True,False,False,2.879234727895996
POLYCAB,2023-05-30,70.42005344647714,True,False,True,-3.277612228409399
BAJAJ-AUTO,2023-06-20,54.02562781426116,False,True,True,-0.1693004872547199
AUROPHARMA,2023-06-23,68.38741613133365,True,True,True,8.269448087032117
HAL,2023-07-07,62.220927067905556,True,False,False,4.0968245974797535
ABCAPITAL,2023-07-24,57.4506449827365,False,False,True,-2.0624155657635423
HAL,2023-07-28,64.9649670570644,True,True,False,-2.9112677716439994
ADANIPOWER,2023-09-21,66.81590906114614,True,True,True,-5.343695956358252
NBCC,2023-09-27,59.37290974873979,True,False,False,-5.484962150984796
PHOENIXLTD,2023-07-13,69.39079712546031,True,True,True,14.674616455381084
POLYCAB,2023-10-13,58.34590104718237,True,False,False,-2.2170459658750863
MCX,2023-11-10,70.85992899751875,True,True,True,16.468316506961898
GODREJPROP,2023-11-30,64.24870385119607,True,True,True,5.509251469667165
CGPOWER,2023-12-13,59.99532475265408,True,False,True,-4.477603842083977
COALINDIA,2023-12-19,71.61533984462866,True,True,True,-5.745191941485295
NBCC,2024-01-03,68.77295921386941,True,True,True,17.730808560540346
BEL,2024-01-18,67.75954588385757,True,True,True,-3.1179401212350744
OIL,2024-01-18,64.86739955955963,True,True,True,14.064482075258343
HAL,2024-01-03,71.32638957050034,True,True,True,8.76409124460611
IOC,2024-02-14,70.22266351965264,True,True,True,-8.027844388733374
HEROMOTOCO,2024-03-06,58.53415768171568,True,False,False,-2.368616074101648
INDHOTEL,2024-03-26,55.10781892615632,False,False,False,5.2443675138053925
BAJAJ-AUTO,2024-04-12,60.740908953882986,True,False,False,-1.931477748557442
HAL,2024-05-08,59.22873919867004,True,True,True,-1.8773722253193623
PETRONET,2024-05-14,54.511006918594546,False,False,False,3.5296806359639943
GODFRYPHLP,2024-05-14,63.74194025428077,True,True,True,-8.706246552746165
OBEROIRLTY,2024-06-24,61.63633722918306,True,True,True,-2.7483931650462035
GVT&D,2024-07-01,63.173068127823406,True,False,False,6.26687578550722
PGEL,2024-07-22,59.676904101328034,True,False,False,7.585474782073187
CROMPTON,2024-07-24,66.95180596415838,True,True,True,-4.035494203052991
LUPIN,2024-10-08,55.231802937729746,False,False,False,-1.710912130230291
MUTHOOTFIN,2024-10-29,52.5167082839537,False,True,True,-1.9249933601618752
