symbol,old_sector_constituents_based,new_sector_indexlist_based,category,weight_available,chosen_weightage,n_sectoral_candidates,n_thematic_candidates,changed,newly_filled
TMPV,NIFTY AUTO,NIFTY AUTO,SECTORAL INDICES,True,5.58,1,7,False,False
TORNTPHARM,NIFTY PHARMA,NIFTY PHARMA,SECTORAL INDICES,True,7.26,3,1,False,False
TRENT,NIFTY NONCYC CONS,NIFTY NONCYC CONS,THEMATIC INDICES,True,4.13,0,3,False,False
TVSMOTOR,NIFTY AUTO,NIFTY AUTO,SECTORAL INDICES,True,7.79,1,7,False,False
ULTRACEMCO,NIFTY CEMENT,NIFTY CEMENT,SECTORAL INDICES,True,15.39,1,7,False,False
UNIONBANK,NIFTY PSU BANK,NIFTY PSU BANK,SECTORAL INDICES,True,9.63,1,1,False,False
UNITDSPR,NIFTY FMCG,NIFTY FMCG,SECTORAL INDICES,True,4.45,1,2,False,False
UNOMINDA,NIFTY AUTO,NIFTY AUTO,SECTORAL INDICES,True,1.72,1,4,False,False
UPL,NIFTY CHEMICALS,NIFTY CHEMICALS,SECTORAL INDICES,True,8.34,1,4,False,False
VBL,NIFTY FMCG,NIFTY FMCG,SECTORAL INDICES,True,5.99,1,2,False,False
VEDL,NIFTY METAL,NIFTY METAL,SECTORAL INDICES,True,5.46,1,2,False,False
VMM,NIFTY MS IND CONS,NIFTY MS IND CONS,THEMATIC INDICES,True,3.18,0,3,False,False
VOLTAS,NIFTY CONSR DURBL,NIFTY CONSR DURBL,SECTORAL INDICES,True,7.9,1,8,False,False
WAAREEENER,,,,False,,0,0,False,False
WIPRO,NIFTY IT,NIFTY IT,SECTORAL INDICES,True,5.0,1,2,False,False
YESBANK,NIFTY MS FIN SERV,NIFTY MS FIN SERV,SECTORAL INDICES,True,3.57,2,1,False,False
ZYDUSLIFE,NIFTY PHARMA,NIFTY PHARMA,SECTORAL INDICES,True,2.94,3,1,False,False
