symbol,entry_date,exit_date,ret_pct,r_multiple_reached,reached_1R,reached_1_5R,reached_2R
AXISBANK,2022-10-10,2022-10-14,7.474880496991854,3.2907484880007374,True,True,True
SRF,2022-10-21,2022-10-24,-2.0056300578034647,0.34584723927441235,False,False,False
BAJAJHLDNG,2022-10-28,2022-11-23,-2.0700208529362274,3.311895205327999,True,True,True
MCX,2022-11-23,2022-11-24,4.142958642439987,1.9714892326357312,True,True,False
DABUR,2022-11-28,2022-11-29,3.8509883796153934,3.3485663234753806,True,True,True
UPL,2022-12-05,2022-12-09,-2.6705586444267797,0.9269632288062566,False,False,False
BEL,2022-10-27,2022-12-15,-2.356460758424117,2.5513559562647283,True,True,True
FEDERALBNK,2022-12-13,2022-12-15,3.8638951119288834,2.7033924144396186,True,True,True
NESTLEIND,2022-12-21,2022-12-27,-1.9506612290836167,0.6331054086188482,False,False,False
SBIN,2022-12-28,2023-01-10,-2.0236727288108547,1.3251643511288658,True,False,False
PNB,2023-01-06,2023-01-10,-3.5626585380111653,0.17294126518576933,False,False,False
IDFCFIRSTB,2023-01-12,2023-01-25,-3.597301321211266,0.7377419672460175,False,False,False
JSWSTEEL,2022-11-30,2023-01-27,-3.404714126992736,1.8305520168364358,True,True,False
HEROMOTOCO,2023-01-18,2023-01-27,-1.8558249437076848,0.7636405074898702,False,False,False
SUPREMEIND,2022-11-01,2023-02-06,22.714228213573985,2.047052107542788,True,True,True
PFC,2023-02-09,2023-02-13,-2.097871891454939,0.6810823120032684,False,False,False
IOC,2023-02-17,2023-02-21,-1.7371754606363532,0.749462326202865,False,False,False
ABCAPITAL,2023-02-15,2023-02-22,-2.60093060466502,0.6754198243195755,False,False,False
PFC,2023-02-15,2023-03-06,11.683627257839934,2.0205556719621103,True,True,True
CUMMINSIND,2023-03-06,2023-03-08,3.429425883342696,2.0042045103112227,True,True,True
SIEMENS,2023-03-17,2023-04-26,5.1472762595936805,2.064370902091001,True,True,True
HAL,2023-04-06,2023-04-28,5.981611450931856,2.0673854794936393,True,True,True
MARUTI,2023-05-02,2023-05-08,4.701039997739809,4.637077834604086,True,True,True
ONGC,2023-05-05,2023-05-10,3.2398140027473987,2.3790800801558354,True,True,True
COALINDIA,2023-05-09,2023-05-17,3.157386831219111,1.6740392029544242,True,True,False
HAVELLS,2023-05-25,2023-06-01,6.068968198491942,2.0964255674524432,True,True,True
BDL,2023-05-30,2023-06-01,5.811103436022092,2.1402221446662466,True,True,True
ICICIBANK,2023-06-01,2023-06-02,-1.6380403458213233,0.0,False,False,False
OFSS,2023-05-18,2023-06-13,4.739076535923781,3.391902293523716,True,True,True
SBIN,2023-05-26,2023-06-13,-1.3852805460166209,1.5409376359600055,True,True,False
HCLTECH,2023-06-15,2023-06-21,2.91316237967687,2.124565563827514,True,True,True
GAIL,2023-06-16,2023-06-22,-1.6506362025616172,0.630207093459353,False,False,False
SUNPHARMA,2023-06-22,2023-06-23,-1.3769853798489051,0.06285976242828886,False,False,False
ASTRAL,2023-06-26,2023-07-04,-2.67619887701166,0.5768461708475423,False,False,False
DALBHARAT,2023-06-27,2023-07-07,-2.499178893321208,0.6396568350601288,False,False,False
IDFCFIRSTB,2023-06-27,2023-07-11,5.5683136239043085,2.0675953031586873,True,True,True
ABCAPITAL,2023-07-13,2023-07-18,-4.134948375556213,0.08286259559799153,False,False,False
INDUSINDBK,2023-06-26,2023-07-19,9.27214366684941,2.003879331462794,True,True,True
CIPLA,2023-07-19,2023-07-26,3.753346596143947,2.3191308831047897,True,True,True
AMBER,2023-07-25,2023-07-26,-2.116285836816878,3.474004606412792,True,True,True
CUMMINSIND,2023-06-26,2023-07-31,6.029143299095363,2.041786319790042,True,True,True
SUPREMEIND,2023-08-02,2023-08-03,-3.1296020749647546,0.04224531532399583,False,False,False
JINDALSTEL,2023-08-08,2023-08-11,3.9802697450958657,2.9191196749986226,True,True,True
SAIL,2023-08-10,2023-08-11,-2.950930608762081,0.15288412755984146,False,False,False
ICICIPRULI,2023-07-25,2023-08-14,-4.266489804712126,0.46827905151554494,False,False,False
POWERGRID,2023-08-16,2023-08-18,-2.285766000106904,0.5210047852181279,False,False,False
NMDC,2023-08-14,2023-08-22,3.801957243904441,2.0214160839160806,True,True,True
BEL,2023-08-08,2023-08-25,4.8843617964803965,2.6685782269964484,True,True,True
ASHOKLEY,2023-08-16,2023-09-01,-3.5870566296575923,0.4825297272520129,False,False,False
DIXON,2023-09-01,2023-09-22,-4.401584784305024,0.8961531161722098,False,False,False
UNOMINDA,2023-09-04,2023-09-22,-3.2782467532467496,1.287511141923346,True,False,False
BAJFINANCE,2023-08-29,2023-09-25,6.3396127995073215,3.888990060254499,True,True,True
OFSS,2023-09-14,2023-09-28,-3.872552980541821,0.9903958160196248,False,False,False
TATAPOWER,2023-09-28,2023-10-04,-2.275992366412216,0.754641042410827,False,False,False
FORTIS,2023-10-18,2023-10-19,-1.6068141582244788,0.06724374441269779,False,False,False
CONCOR,2023-10-17,2023-10-20,-2.218524305555547,0.2934570809237256,False,False,False
BHEL,2023-10-17,2023-10-20,-4.023394224808563,0.3087998088494486,False,False,False
LICHSGFIN,2023-10-10,2023-10-23,-2.807814703857625,0.7914432518174567,False,False,False
HDFCAMC,2023-11-15,2023-11-17,4.775453812222041,2.7297138861085166,True,True,True
BRITANNIA,2023-11-29,2023-12-01,4.7609803296410735,2.262107216566127,True,True,True
POLYCAB,2023-11-12,2023-12-08,6.05604301199818,2.4707475379510178,True,True,True
INFY,2023-11-29,2023-12-15,4.625457617572493,5.0959323472356735,True,True,True
BLUESTARCO,2023-11-15,2023-12-20,-3.6725476834824633,1.9150288078537148,True,True,False
ICICIGI,2023-12-14,2023-12-20,-2.655829351535832,0.2043286838919618,False,False,False
ONGC,2023-12-15,2023-12-20,3.6516945097583298,3.2935067432747407,True,True,True
