symbol,entry_date,signal_date,ret_pct,win,signal_candle_ret,day_before_signal_ret
ICICIGI,2025-08-20,2025-08-19,-2.608817705030353,False,0.3339498561446774,2.533846072801982
RADICO,2025-08-18,2025-08-14,-3.770721822183043,False,1.1933850348808228,-2.47280262476256
LT,2025-09-04,2025-09-03,-1.9327058433851296,False,0.724495790092039,-0.6530680302356595
HINDUNILVR,2025-09-10,2025-09-09,-1.715126197437267,False,0.6898128739662335,-0.3607503607503615
CUMMINSIND,2025-09-04,2025-09-03,6.254624551442145,True,1.5366924524357062,-1.3839849488415212
RADICO,2025-09-25,2025-09-24,-2.445365631291652,False,0.3955910197457557,-2.312062359624789
UNOMINDA,2025-10-01,2025-09-30,-3.698770581796951,False,1.050338442387,1.2924580345180736
POLYCAB,2025-10-06,2025-10-03,3.6021141301016524,True,0.5713508366208764,0.8921218775734374
TVSMOTOR,2025-10-10,2025-10-09,-1.739060217770294,False,0.10335917312660481,-0.8680802618471595
RBLBANK,2025-10-01,2025-09-30,7.39917716602303,True,-0.19798416126710627,2.001101523774551
ALKEM,2025-10-07,2025-10-06,-3.210313374875817,False,0.9555310547592732,-0.32054217419177355
ZYDUSLIFE,2025-10-27,2025-10-24,-2.4154802427112543,False,-0.4063429137760144,0.9504752376188197
AMBER,2025-10-10,2025-10-09,-4.378178144392441,False,0.0849617672047609,-2.120582120582115
BHARATFORG,2025-11-10,2025-11-07,3.752282729844469,True,-0.19701447298628993,-0.3924824515057823
MANAPPURAM,2025-11-20,2025-11-19,-2.664786875154146,False,0.0,-0.8137272244825633
NESTLEIND,2025-11-12,2025-11-11,-1.5551852057392068,False,0.4117507324411962,0.015839074998025282
PNB,2025-11-12,2025-11-11,-2.483725850630991,False,-0.26076716016151247,-0.033636057854025125
CHOLAFIN,2025-12-30,2025-12-29,3.188067024747676,True,0.0471142520612533,0.011779950524215543
MARICO,2025-12-15,2025-12-12,4.8930921052631415,True,0.3242721125983117,-0.006898930665744096
NMDC,2026-01-14,2026-01-13,-2.1296933618621283,False,0.441083805923137,1.5875048009217796
PETRONET,2026-01-14,2026-01-13,-2.700689198734896,False,0.4016765630457497,-0.40006957731778536
UNIONBANK,2026-02-09,2026-02-06,4.704749530179941,True,0.11572734637195214,1.0288787559920465
MARICO,2026-02-09,2026-02-06,2.902374670184704,True,0.594681277562481,2.0316334878647258
RBLBANK,2026-02-12,2026-02-11,5.747799383406194,True,0.6847081838930569,-0.47055005679051964
SBILIFE,2026-02-13,2026-02-12,3.462481608631673,True,-0.20727434239747877,0.39637318535401533
OIL,2026-02-24,2026-02-23,-2.372029567847822,False,-0.37850909473241545,-0.24124187119781704
COALINDIA,2026-02-24,2026-02-23,-2.434185867222272,False,0.578444103411635,1.778204974167985
BLUESTARCO,2026-02-25,2026-02-24,-2.2213840170392296,False,-0.11723927005811152,-0.3352977037187621
MCX,2026-02-27,2026-02-26,-4.267386011522911,False,0.39604768904133447,2.228900576007997
TORNTPHARM,2026-04-17,2026-04-16,-1.969468624947324,False,-0.08174452431900514,-0.519014589811051
POLYCAB,2026-05-04,2026-04-30,6.526744512804861,True,-0.4663434988034565,-1.2781681608916906
AUROPHARMA,2026-04-06,2026-04-02,11.74975816785908,True,-0.625884807391397,2.8902177246243443
GRASIM,2026-05-04,2026-04-30,6.083968272590123,True,-0.31035958904108707,0.7258354293927294
PIDILITIND,2026-05-19,2026-05-18,4.422735947159273,True,-1.1923417592150987,-1.0850518937862152
ADANIPORTS,2026-06-10,2026-06-09,-2.62601837214601,False,1.1855955678670371,-1.0525161714724285
MOTHERSON,2026-06-19,2026-06-18,-2.470238972918437,False,-0.28945554789798766,-1.693766937669372
CUMMINSIND,2026-06-23,2026-06-22,-3.190306574234403,False,-1.722080136402382,0.11949470809149432
TORNTPHARM,2026-06-23,2026-06-22,4.905954368391763,True,0.6140232064653084,-0.3531661230457672
CGPOWER,2026-06-15,2026-06-12,4.977952487890169,True,1.4533754923170772,-0.7433102081268572
SHRIRAMFIN,2026-07-21,2026-07-20,-2.57204195484384,False,0.04831384674848227,1.024990238188206
NYKAA,2026-07-27,2026-07-24,4.658061343543252,True,-0.6157635467980316,-0.5511328842620955
HAL,2026-07-31,2026-07-30,3.356776881321122,True,-0.23083623693380684,-0.17608312862764652
BHEL,2026-08-05,2026-08-04,-2.093006945816433,False,0.19457618873890414,1.0196560196560123
BHARTIARTL,2026-08-05,2026-08-04,-4.350099009900998,False,-0.020299416391778013,-0.07606490872210658
