symbol,entry_date,exit_date,entry_price,exit_price,qty,reason,sector,pnl,ret_pct,holding_days,ema13_gt_ema21
ADANIENT,2021-04-12,2021-06-14,1041.6,1397.5,176,stop,NIFTY METAL,62638.400000000016,34.168586789554546,63,True
VEDL,2021-04-15,2021-06-16,98.2,118.4669365366235,1454,stop,NIFTY METAL,29468.12572425057,20.638428245034124,62,True
ADANIENSOL,2021-04-15,2021-06-16,944.15,1374.1,133,stop,NIFTY COMMODITIES,57183.34999999999,45.538314886405765,62,True
NATIONALUM,2021-05-14,2021-06-17,69.87451712028096,65.93727796740446,2278,stop,NIFTY METAL,-8969.03079025267,-5.634728245919751,34,True
ADANIENT,2021-06-14,2021-06-17,1455.6,1280.1164560469265,165,stop,NIFTY METAL,-28954.784752257157,-12.055753225685194,3,True
HINDALCO,2021-05-20,2021-06-17,385.2,369.25,399,rebalance,NIFTY METAL,-6364.049999999996,-4.140706126687432,28,True
ADANIENSOL,2021-06-16,2021-06-17,1374.1,1305.4,145,rebalance,NIFTY COMMODITIES,-9961.499999999976,-4.999636125463924,1,True
JSWSTEEL,2021-05-14,2021-06-18,704.478305785124,662.0348433832378,242,stop,NIFTY METAL,-10271.317901256463,-6.0248075850375615,35,True
TATASTEEL,2021-05-25,2021-06-18,104.46,100.23074259889997,2210,stop,NIFTY METAL,-9346.658856431091,-4.048686005265212,24,True
SAIL,2021-06-16,2021-06-18,131.2,124.0,1187,rebalance,NIFTY METAL,-8546.399999999987,-5.487804878048774,2,True
PNBHOUSING,2021-06-17,2021-06-18,620.95,611.1,277,rebalance,NIFTY MS FIN SERV,-2728.450000000006,-1.5862790884934364,1,True
