symbol,entry_date,exit_date,entry_price,exit_price,qty,reason,pattern,grade,pnl,ret_pct,holding_days
LTM,2024-09-19,2024-09-24,6440.0,6219.536,39,stop,Pin Bar (Stopping Vol),A+,-8598.095999999998,-3.423354037267079,5
APOLLOHOSP,2024-08-20,2024-09-27,6775.0,7213.578857689721,36,target,Pin Bar (Stopping Vol),A,15788.838876829963,6.473488674387018,38
LUPIN,2024-09-26,2024-09-27,2233.822366962478,2189.0631,111,stop,Pin Bar (Stopping Vol),A+,-4968.278632835086,-2.003707529499821,1
AUROPHARMA,2024-08-19,2024-10-01,1531.7143696129156,1418.6071,163,stop,Pin Bar (Stopping Vol),A+,-18436.484946905246,-7.384357805659247,43
HAVELLS,2024-09-30,2024-10-01,2041.3141724042705,1996.5489,121,stop,Pin Bar (Stopping Vol),A+,-5416.59796091673,-2.192963386500457,1
ICICIPRULI,2024-09-26,2024-10-03,777.6921104896875,759.977,318,stop,Pin Bar (Stopping Vol),A+,-5633.405135720626,-2.277907960070835,7
PERSISTENT,2024-10-14,2024-10-22,5506.409614855621,5191.9453,45,stop,Bullish Engulfing,A+,-14150.894168502928,-5.710877628995026,8
ABB,2024-10-09,2024-10-23,8201.390410395947,7729.5599,30,stop,Morning Star,A,-14154.915311878394,-5.753055113653193,14
AMBER,2024-09-24,2024-10-24,5206.799909724909,6873.229129174727,48,target,Morning Star,A+,79988.60253359124,32.0048638000737,30
HINDALCO,2024-10-10,2024-10-24,737.7820292809862,708.58,336,stop,Bullish Engulfing,A,-9811.881838411347,-3.958083569675086,14
MPHASIS,2024-10-30,2024-10-31,2913.511486436125,2830.1284,87,stop,Pin Bar (Stopping Vol),A+,-7254.328519942859,-2.861944661083904,1
NATIONALUM,2024-12-04,2024-12-12,244.0206336217135,235.89726000000002,1042,stop,Morning Star,A,-8464.555313825449,-3.3289699732140354,8
HDFCAMC,2024-12-16,2024-12-18,2186.9553631001672,2109.0734,115,stop,Pin Bar (Stopping Vol),A,-8956.425756519206,-3.561204970812193,2
PFC,2024-12-16,2024-12-18,508.76979090485804,489.519,495,stop,Pin Bar (Stopping Vol),A,-9529.141497904728,-3.7837920507465816,2
CANBK,2024-12-16,2024-12-18,100.71574962111752,96.99562,2503,stop,Pin Bar (Stopping Vol),A,-9311.484441657158,-3.693692034376228,2
APOLLOHOSP,2024-12-17,2024-12-19,7284.531165010318,7151.717900000001,34,stop,Pin Bar (Stopping Vol),A,-4515.651010350781,-1.8232232384186475,2
MUTHOOTFIN,2024-12-30,2025-01-01,2080.0677898228832,2164.0719694686495,118,target,Pin Bar (Stopping Vol),A+,9912.49319820042,4.038530862156131,2
360ONE,2024-12-26,2025-01-07,1244.1081667559326,1198.7976,197,stop,Pin Bar (Stopping Vol),A,-8926.18165091871,-3.6420118416296443,12
UNOMINDA,2025-01-08,2025-01-13,1072.561458304235,1033.1296,229,stop,Pin Bar (Stopping Vol),A,-9029.895551669813,-3.676419472183756,5
BSE,2025-01-23,2025-01-27,1946.1952680573834,1863.266,125,stop,Pin Bar (Stopping Vol),A+,-10366.158507172911,-4.2610969936310745,4
MUTHOOTFIN,2025-02-05,2025-02-11,2281.3941418830004,2165.6101,106,stop,Morning Star,A,-12273.108439598058,-5.07514417423004,6
WIPRO,2025-02-04,2025-02-24,310.0,292.1645,784,stop,Bullish Engulfing,A,-13983.03200000002,-5.7533870967741985,20
SBICARD,2025-02-13,2025-04-07,825.0,769.9071,291,stop,Bullish Engulfing,A,-16032.033899999997,-6.677927272727269,53
CHOLAFIN,2025-03-06,2025-04-07,1469.0,1391.2619,163,stop,Pin Bar (Stopping Vol),A+,-12671.310300000005,-5.291906058543228,32
BAJAJFINSV,2025-02-03,2025-04-24,1785.588180128727,2129.2325403861805,135,target,Pin Bar (Stopping Vol),A+,46391.98863475624,19.24544327083748,80
GRASIM,2025-04-28,2025-05-09,2746.2178329189246,2669.8496,88,stop,Pin Bar (Stopping Vol),A+,-6720.404496865365,-2.7808512494347015,11
MAZDOCK,2025-04-29,2025-05-14,2828.7677934195294,3204.687780258588,85,target,Bullish Engulfing,A,31953.198881319993,13.289177984617506,15
INDIANB,2025-05-13,2025-05-19,551.3280477451101,581.1341432353304,447,target,Pin Bar (Stopping Vol),A+,13323.324684128467,5.40623601721788,6
RELIANCE,2025-05-26,2025-06-02,1436.6825996680568,1403.7867999999999,174,stop,Bullish Engulfing,A,-5723.86914224191,-2.289705441943646,7
TITAN,2025-05-26,2025-06-02,3613.6173245855716,3515.954,69,stop,Bullish Engulfing,A,-6738.76939640443,-2.7026471209640857,7
RADICO,2025-04-28,2025-06-04,2473.138299421761,2728.415698265284,98,target,Pin Bar (Stopping Vol),A,25017.18508666524,10.32200257070981,37
APLAPOLLO,2025-06-03,2025-06-04,1817.1346378116564,1894.3323134349694,138,target,Pin Bar (Stopping Vol),A,10653.279236017192,4.248318975212584,1
ICICIBANK,2025-05-23,2025-06-10,1447.8171942054332,1424.9443999999999,172,stop,Pin Bar (Stopping Vol),A+,-3934.120603334539,-1.5798123062066516,18
LODHA,2025-06-17,2025-06-18,1482.3891320460589,1434.126,172,stop,Morning Star,A,-8301.258711922132,-3.2557667216194464,1
BHARTIARTL,2025-04-01,2025-06-20,1749.9502792814026,1936.4908378442076,139,target,Pin Bar (Stopping Vol),A,25929.1376402299,10.659763352785422,80
DRREDDY,2025-06-24,2025-06-27,1325.600267622486,1299.4958,196,stop,Pin Bar (Stopping Vol),A,-5116.475654007261,-1.969256363330807,3
NAM-INDIA,2025-06-23,2025-07-15,769.0491335556057,845.0774006668173,336,target,Morning Star,A+,25545.497749367085,9.886009071969703,22
BANKBARODA,2025-06-27,2025-07-16,233.0332193314228,242.35,1115,target,Pin Bar (Stopping Vol),A+,10388.210445463572,3.9980483020005675,19
CANBK,2025-07-15,2025-07-21,111.86089841238147,108.11334,2345,stop,Morning Star,A+,-8788.02447703457,-3.3501951670063423,6
360ONE,2025-07-17,2025-07-22,1207.3203201721885,1179.5362,219,stop,Pin Bar (Stopping Vol),A+,-6084.7223177092865,-2.3013047745461535,5
FORTIS,2025-07-15,2025-07-24,788.9257320600739,847.8211961802217,332,target,Morning Star,A+,19553.29408788908,7.4652735646431045,9
CDSL,2025-06-23,2025-07-25,1694.6831727995268,1629.4346,152,stop,Bullish Engulfing,A,-9917.783065528067,-3.8501929945843227,32
BEL,2025-06-16,2025-07-29,398.6830664478997,378.741,640,stop,Bullish Engulfing,A,-12762.92252665582,-5.001984816053318,43
AMBUJACEM,2025-07-30,2025-07-31,613.5009158746265,601.4447,420,stop,Pin Bar (Stopping Vol),A+,-5063.610667343108,-1.9651504280867704,1
BIOCON,2025-07-24,2025-08-01,399.3508837916021,383.8308,657,stop,Bullish Engulfing,A,-10196.695051082565,-3.886327643561971,8
CUMMINSIND,2025-08-05,2025-08-08,3587.744401147625,3757.073603442875,71,target,Pin Bar (Stopping Vol),A,12022.373362962755,4.71965623418118,3
RADICO,2025-08-18,2025-09-05,2880.355597054609,2771.7454000000002,89,stop,Pin Bar (Stopping Vol),A,-9666.307537860179,-3.770721822183043,18
CUMMINSIND,2025-08-29,2025-09-10,3865.053030209169,4055.668290627506,66,target,Pin Bar (Stopping Vol),A+,12580.60718761025,4.93176313309267,12
FORTIS,2025-09-02,2025-09-10,934.0,965.0695692419227,274,target,Morning Star,A+,8513.061972286834,3.3265063428182806,8
HINDUNILVR,2025-09-10,2025-09-12,2651.5549129514657,2606.0774,97,stop,Pin Bar (Stopping Vol),A,-4411.318756292158,-1.7151261974372667,2
GVT&D,2025-09-01,2025-09-22,2811.620207100516,3120.1114213015485,91,target,Morning Star,A,28072.700492293963,10.97200871660986,21
POLYCAB,2025-09-16,2025-09-22,7292.874521140215,7647.143563420645,35,target,Pin Bar (Stopping Vol),A,12399.416479815045,4.857742187302039,6
IDFCFIRSTB,2025-09-17,2025-09-22,71.92790459980361,70.8081,3657,stop,Pin Bar (Stopping Vol),A+,-4095.12542148182,-1.556843072287517,5
RADICO,2025-09-25,2025-09-26,2992.323244190588,2919.15,89,stop,Pin Bar (Stopping Vol),A,-6512.41873296232,-2.4453656312916516,1
UNOMINDA,2025-10-01,2025-10-09,1308.2649179158414,1259.8752000000002,204,stop,Pin Bar (Stopping Vol),A+,-9871.5024548316,-3.6987705817969507,8
POLYCAB,2025-10-06,2025-10-10,7428.675688324278,7696.265064972833,36,target,Pin Bar (Stopping Vol),A+,9633.217559347984,3.6021141301016524,4
TVSMOTOR,2025-10-10,2025-10-13,3501.1934626562283,3440.3055999999997,76,stop,Pin Bar (Stopping Vol),A,-4627.477561873378,-1.739060217770294,3
RBLBANK,2025-10-01,2025-10-15,280.6927779670052,301.4617339010156,955,target,Pin Bar (Stopping Vol),A+,19834.352916979897,7.39917716602303,14
ABCAPITAL,2025-10-14,2025-10-30,301.1965564984648,324.94926949539445,891,target,Bullish Engulfing,A,21163.6672802643,7.8861170502959155,16
LTF,2025-09-30,2025-11-03,248.145765697243,275.277497091729,1068,target,Bullish Engulfing,A,28976.689129311046,10.933787775201775,34
AMBER,2025-10-10,2025-11-03,8340.165294113061,7975.018,32,stop,Pin Bar (Stopping Vol),A+,-11684.713411617966,-4.378178144392441,24
NATIONALUM,2025-11-10,2025-11-11,241.15,260.9977312948424,1142,target,Bullish Engulfing,A,22666.109138710042,8.23045046437587,1
BHARATFORG,2025-11-10,2025-11-11,1323.6303770219856,1373.296731065957,211,target,Pin Bar (Stopping Vol),A,10479.600703277943,3.7522827298444694,1
LTF,2025-11-25,2025-11-26,295.33140369833984,308.25,955,target,Bullish Engulfing,A,12337.259468085453,4.374271120471707,1
BPCL,2025-11-27,2025-12-01,358.7,345.50759999999997,795,stop,Morning Star,A,-10487.958000000017,-3.677836632283249,4
NESTLEIND,2025-11-06,2025-12-03,1271.265920614661,1248.1986,217,stop,Pin Bar (Stopping Vol),A+,-5005.608573381428,-1.8145157705091175,27
PNB,2025-11-12,2025-12-03,119.41251961865842,116.44664,2368,stop,Pin Bar (Stopping Vol),A+,-7023.202936983138,-2.483725850630991,21
INDIANB,2025-11-26,2025-12-03,866.4528945008727,836.4238,330,stop,Morning Star,A,-9909.601185287991,-3.46575038198369,7
NATIONALUM,2025-11-26,2025-12-04,257.23241059245703,269.9028317773711,1112,target,Morning Star,A+,14089.508357624436,4.925670585495645,8
GLENMARK,2025-12-22,2026-01-07,2000.4214284634927,2103.874685390478,139,target,Morning Star,A+,14380.002712850976,5.171573122291884,16
GMRAIRPORT,2025-12-15,2026-01-12,105.04475258317774,98.03354,2678,stop,Morning Star,A+,-18776.02729774998,-6.674500544542705,28
NMDC,2026-01-14,2026-01-19,80.26191262528425,78.55257999999999,3501,stop,Pin Bar (Stopping Vol),A,-5984.373521120199,-2.1296933618621283,5
ULTRACEMCO,2026-01-13,2026-02-03,11898.074689224204,12640.424067672613,23,target,Bullish Engulfing,A,17074.035704313406,6.2392395226829045,21
UNIONBANK,2026-02-09,2026-02-17,175.81,184.08142014900938,1599,target,Pin Bar (Stopping Vol),A+,13226.000818265988,4.704749530179941,8
UNIONBANK,2026-02-17,2026-02-24,179.2586018437515,196.39992553125452,1571,target,Bullish Engulfing,A,26929.01951306724,9.56234373759315,7
OIL,2026-02-24,2026-02-25,476.98092866083005,465.6668,610,stop,Pin Bar (Stopping Vol),A,-6901.618483106314,-2.372029567847822,1
ASHOKLEY,2026-02-23,2026-03-02,209.98266681205453,201.40638,1378,stop,Bullish Engulfing,A,-11818.123227011127,-4.084283213590556,7
SHRIRAMFIN,2026-02-25,2026-03-02,1068.8630443427521,1048.0996,272,stop,Pin Bar (Stopping Vol),A+,-5647.656861228574,-1.9425729472684394,5
BLUESTARCO,2026-02-25,2026-03-02,1973.3693104597094,1929.5332,148,stop,Pin Bar (Stopping Vol),A+,-6487.744348036975,-2.2213840170392296,5
BANKINDIA,2026-02-17,2026-03-06,161.4822985121963,154.20098,1736,stop,Bullish Engulfing,A,-12640.368937172814,-4.5090505766156035,17
ONGC,2026-03-09,2026-03-10,289.0,270.60769999999997,981,stop,Pin Bar (Stopping Vol),A+,-18042.846300000034,-6.364117647058832,1
HINDALCO,2026-03-11,2026-03-13,962.8758438533251,931.4833,289,stop,Pin Bar (Stopping Vol),A,-9072.44517361097,-3.260289896534907,2
BSE,2026-03-17,2026-03-23,2898.4442334328937,2771.446,96,stop,Bullish Engulfing,A,-12191.830409557806,-4.381600031078681,6
MCX,2026-02-03,2026-04-15,2500.0,2848.689495400035,113,target,Bullish Engulfing,A,39401.91298020395,13.947579816001387,71
POLYCAB,2026-05-04,2026-05-07,8187.615269658023,8722.0,34,target,Pin Bar (Stopping Vol),A+,18169.08083162722,6.526744512804861,3
AUROPHARMA,2026-04-06,2026-05-08,1344.0,1501.916749776026,204,target,Pin Bar (Stopping Vol),A,32215.016954309325,11.749758167859081,32
JINDALSTEL,2026-05-05,2026-05-11,1282.935604097528,1231.6317999999999,223,stop,Morning Star,A+,-11440.748313748789,-3.998938367106708,6
GLENMARK,2026-05-15,2026-05-22,2357.57118427981,2288.0148,123,stop,Morning Star,A+,-8555.435266416644,-2.9503407890124067,7
CUMMINSIND,2026-05-04,2026-05-27,5323.681235306111,5751.523705918334,53,target,Pin Bar (Stopping Vol),A,22675.650942447784,8.036590691696844,23
CGPOWER,2026-05-07,2026-05-27,842.170717007539,921.7281510226169,348,target,Pin Bar (Stopping Vol),A+,27685.987037247105,9.446711030011468,20
ADANIPOWER,2026-05-15,2026-05-27,229.0,248.87035690758603,1271,target,Morning Star,A,25255.22362954184,8.677011750037567,12
GRASIM,2026-06-04,2026-06-08,3121.6672440103257,3053.88,98,stop,Pin Bar (Stopping Vol),A,-6643.149913011908,-2.171507682005247,4
RBLBANK,2026-04-29,2026-06-12,328.9995051811349,368.23851554340473,863,target,Bullish Engulfing,A,33863.265942638856,11.926768807954979,44
MOTHERSON,2026-06-19,2026-06-23,145.92958959520058,142.32478,2127,stop,Pin Bar (Stopping Vol),A+,-7667.43000899163,-2.470238972918437,4
CUMMINSIND,2026-06-23,2026-06-24,5811.118495395142,5625.726,53,stop,Pin Bar (Stopping Vol),A+,-9825.802255942566,-3.190306574234403,1
TORNTPHARM,2026-06-23,2026-06-29,4492.5,4712.9,68,target,Pin Bar (Stopping Vol),A+,14987.199999999975,4.905954368391763,6
CGPOWER,2026-06-15,2026-07-01,928.0,974.1953990876208,332,target,Pin Bar (Stopping Vol),A+,15336.8724970901,4.977952487890169,16
ZYDUSLIFE,2026-06-04,2026-07-07,1084.0892921332802,1158.6634763998404,282,target,Pin Bar (Stopping Vol),A,21029.91996316998,6.878970653774519,33
PNBHOUSING,2026-07-20,2026-07-23,1105.2636637061557,1070.5546,287,stop,Pin Bar (Stopping Vol),A,-9961.501283666716,-3.1403424219855203,3
BAJFINANCE,2026-07-16,2026-07-24,1039.8225852176818,1004.5868,304,stop,Bullish Engulfing,A,-10711.678706175244,-3.388634341915675,8
SHRIRAMFIN,2026-07-21,2026-07-24,1042.7848642061433,1015.9639999999999,306,stop,Pin Bar (Stopping Vol),A,-8207.184447079871,-2.57204195484384,3
LAURUSLABS,2026-07-10,2026-07-27,1538.1985115713926,1700.435534714178,205,target,Morning Star,A,33258.589744271,10.5472097341355,17
ADANIPORTS,2026-06-03,2026-07-29,1829.4,1741.7096000000001,167,stop,Bullish Engulfing,A,-14644.296799999993,-4.79339674210123,56
NYKAA,2026-07-27,2026-08-03,325.0,340.1386993665156,967,target,Pin Bar (Stopping Vol),A+,14639.122287420581,4.658061343543252,7
SIEMENS,2026-07-31,2026-08-03,3674.576032220347,3855.0,85,target,Pin Bar (Stopping Vol),A,15336.037261270518,4.9100621730946425,3
HAL,2026-07-31,2026-08-06,4606.437514774222,4761.0653443226665,68,target,Pin Bar (Stopping Vol),A,10514.69240929422,3.356776881321122,6
BHEL,2026-08-05,2026-08-06,414.10474099191595,405.4375,772,stop,Pin Bar (Stopping Vol),A+,-6691.110045759111,-2.0930069458164335,1
BHARTIARTL,2026-08-05,2026-08-11,2020.0,1932.128,158,stop,Pin Bar (Stopping Vol),A,-13883.77600000001,-4.350099009900998,6
NAM-INDIA,2026-08-13,2026-08-14,1186.1477351012381,1165.2648,267,stop,Pin Bar (Stopping Vol),A+,-5575.743672030604,-1.7605678014008808,1
