date,symbol,pattern,grade,score,entry,stop,target,rrr,outcome,ret_pct
2026-07-08,TORNTPHARM,Pin Bar (Stopping Vol),A,75,4889.44,4808.86,5050.61,2.0,STOP,-1.6480414935043708
2026-07-10,LAURUSLABS,Bullish Engulfing,A,75,1529.1,1457.08,1673.14,2.0,TARGET,9.419920214505284
2026-07-10,LICI,Bullish Engulfing,A,75,441.89,426.55,472.57,2.0,STOP,-3.4714521713548607
2026-07-10,OBEROIRLTY,None,A,70,1925.11,1817.06,2141.23,2.0,STOP,-5.612666289199053
2026-07-13,GLENMARK,Pin Bar (Stopping Vol),A,70,2310.35,2242.51,2474.0,2.41,STOP,-2.9363516350336405
2026-07-15,APOLLOHOSP,Bullish Engulfing,A,80,8948.5,8721.52,9360.15,2.0,STOP,-2.5365144996368105
2026-07-16,BAJFINANCE,Bullish Engulfing,A,75,1039.82,1004.59,1110.29,2.0,STOP,-3.3880863995691457
2026-07-20,PNBHOUSING,Pin Bar (Stopping Vol),A,80,1105.26,1070.55,1174.68,2.0,STOP,-3.1404375441072774
2026-07-20,OBEROIRLTY,Bullish Engulfing,A,75,1904.47,1852.39,2008.65,2.0,STOP,-2.7346190803740678
2026-07-20,IDFCFIRSTB,Bullish Engulfing,A,75,80.97,78.62,85.67,2.0,TARGET,5.804618994689403
2026-07-20,ASIANPAINT,Bullish Engulfing,A,70,2705.25,2659.67,2832.7,2.8,STOP,-1.684872008132332
2026-07-21,TORNTPHARM,Bullish Engulfing,A,80,5044.32,4725.63,5681.7,2.0,STILL_OPEN,-2.702445522885144
2026-07-21,BAJFINANCE,Pin Bar (Stopping Vol),A,70,1070.2,1036.12,1138.35,2.0,STOP,-3.1844515043917165
2026-07-21,PRESTIGE,Bullish Engulfing,A+,85,1703.32,1630.03,1849.9,2.0,STOP,-4.3027734072282335
2026-07-21,SHRIRAMFIN,Pin Bar (Stopping Vol),A,75,1042.78,1015.96,1096.43,2.0,STOP,-2.5719710773125626
2026-07-21,UNIONBANK,Bullish Engulfing,A+,90,177.82,167.43,198.6,2.0,STOP,-5.842987290518497
2026-07-22,HAL,Bullish Engulfing,A+,85,4603.59,4452.48,4905.82,2.0,TARGET,6.5650937637800055
2026-07-27,NYKAA,Pin Bar (Stopping Vol),A,80,325.0,316.42,340.14,2.0,TARGET,4.658461538461545
2026-07-27,IDFCFIRSTB,Bullish Engulfing,A,75,86.3,78.72,86.35,2.0,TARGET,0.05793742757820297
2026-07-28,SUNPHARMA,None,A,70,1980.17,1929.13,2082.25,2.0,STOP,-2.5775564724240807
2026-07-28,APOLLOHOSP,Pin Bar (Stopping Vol),A,70,8873.59,8726.51,9167.75,2.0,STOP,-1.6575027694540778
2026-07-29,NESTLEIND,None,A,70,1510.67,1445.6,1640.79,2.0,STILL_OPEN,-2.9238682174134722
2026-07-29,TVSMOTOR,Bullish Engulfing,A,75,4013.0,3844.3,4346.05,2.0,TARGET,8.299277348616997
2026-07-30,MARICO,Bullish Engulfing,A,70,888.05,855.54,953.07,2.0,STOP,-3.660829908225882
2026-07-30,OIL,Pin Bar (Stopping Vol),A,70,451.03,439.37,531.0,6.86,STOP,-2.5851938895417037
2026-07-31,SIEMENS,Pin Bar (Stopping Vol),A,75,3674.58,3575.43,3855.0,1.82,TARGET,4.909948892118288
2026-07-31,NYKAA,Bullish Engulfing,A,70,336.2,326.1,352.63,2.0,STOP,-3.004164187983338
2026-07-31,HAL,Pin Bar (Stopping Vol),A,75,4606.44,4529.12,4761.07,2.0,TARGET,3.3568221880671434
2026-07-31,M&M,Bullish Engulfing,A+,90,3379.9,3191.11,3622.67,2.0,STILL_OPEN,1.7781591171336375
2026-08-03,TORNTPHARM,None,A,70,5250.0,4884.61,5694.99,2.0,STOP,-6.959809523809534
2026-08-03,EICHERMOT,Pin Bar (Stopping Vol),A,80,7946.45,7714.54,8410.27,2.0,STILL_OPEN,1.3030976096244151
2026-08-03,ABCAPITAL,None,A,75,414.08,395.31,451.64,2.0,STOP,-4.5329404945904095
2026-08-03,COFORGE,Bullish Engulfing,A,75,1770.34,1698.3,1914.42,2.0,STILL_OPEN,6.708315916716567
2026-08-03,HEROMOTOCO,Pin Bar (Stopping Vol),A,70,5425.0,5286.9,5645.17,2.0,TARGET,4.058433179723497
2026-08-03,BHARTIARTL,Pin Bar (Stopping Vol),A,70,1987.4,1943.51,2051.96,2.0,STOP,-2.2084130019120463
2026-08-04,SIEMENS,None,A,70,3919.6,3686.81,4373.64,2.0,STILL_OPEN,3.837126237371158
2026-08-05,PIDILITIND,None,A,70,1662.47,1598.8,1789.82,2.0,STILL_OPEN,-1.0508460303043088
2026-08-05,BHEL,Pin Bar (Stopping Vol),A+,85,414.1,405.44,446.5,3.74,STOP,-2.0912822989616053
2026-08-05,MANAPPURAM,None,A,70,367.82,351.3,400.85,2.0,STOP,-4.49132727964765
2026-08-05,BHARTIARTL,Pin Bar (Stopping Vol),A,75,2020.0,1932.13,2086.0,2.0,STOP,-4.349999999999998
2026-08-06,PNBHOUSING,Bullish Engulfing,A+,90,1157.6,1068.06,1336.67,2.0,STILL_OPEN,1.8745680718728508
2026-08-06,PIDILITIND,None,A,70,1668.59,1610.67,1784.42,2.0,STILL_OPEN,-1.413768511138147
2026-08-06,TITAN,Pin Bar (Stopping Vol),A,70,4943.59,4852.28,5126.23,2.0,TARGET,3.6944811361783625
2026-08-06,NATIONALUM,Pin Bar (Stopping Vol),A,70,385.01,374.4,406.24,2.0,TARGET,5.5141424898054625
2026-08-07,BHEL,Pin Bar (Stopping Vol),A+,85,416.02,406.19,446.5,3.1,STOP,-2.3628671698476045
2026-08-10,AUROPHARMA,Bullish Engulfing,A+,90,1668.0,1576.74,1846.84,2.0,STILL_OPEN,-3.2434052757793763
2026-08-10,PNBHOUSING,Pin Bar (Stopping Vol),A,70,1155.43,1117.26,1231.78,2.0,STILL_OPEN,2.065897544637041
2026-08-10,MANAPPURAM,Pin Bar (Stopping Vol),A,75,369.62,357.78,393.29,2.0,STOP,-3.203289865267045
2026-08-10,M&M,Bullish Engulfing,A,70,3513.15,3395.3,3748.84,2.0,STOP,-3.354539373496712
2026-08-10,GRASIM,Bullish Engulfing,A+,90,3356.96,3176.63,3717.63,2.0,STILL_OPEN,-1.6967732710547634
2026-08-12,SIEMENS,None,A,75,4051.06,3846.89,4459.4,2.0,STILL_OPEN,0.46753195459954267
2026-08-13,NAM-INDIA,Pin Bar (Stopping Vol),A,80,1186.15,1165.26,1233.5,2.27,STOP,-1.761160055642208
2026-08-13,360ONE,Pin Bar (Stopping Vol),A,80,1170.72,1137.72,1236.71,2.0,STILL_OPEN,2.441232745660793
2026-08-13,POLYCAB,Bullish Engulfing,A,70,9316.0,9072.32,10126.0,3.45,STOP,-2.6157148990983314
2026-08-13,BAJAJFINSV,Pin Bar (Stopping Vol),A,75,2033.01,2002.09,2094.87,2.0,STOP,-1.520897585353742
2026-08-13,ASIANPAINT,Pin Bar (Stopping Vol),A,75,2753.92,2692.8,2864.0,1.8,STOP,-2.2193818266325827
2026-08-13,LT,None,A,70,4050.31,3982.02,4272.3,3.25,STILL_OPEN,1.671230103374799
2026-08-14,LODHA,Bullish Engulfing,A,75,1248.9,1198.0,1344.95,1.89,STOP,-4.0755865161342
2026-08-14,BHEL,Pin Bar (Stopping Vol),A,75,421.71,411.18,446.5,2.35,STOP,-2.496976595290601
2026-08-17,MOTILALOFS,Pin Bar (Stopping Vol),A,75,908.38,888.22,989.75,4.04,TARGET,8.95770492525154
2026-08-17,M&M,Pin Bar (Stopping Vol),A,75,3437.34,3371.54,3568.94,2.0,STOP,-1.9142709187918605
2026-08-19,PNBHOUSING,Pin Bar (Stopping Vol),A,80,1157.04,1126.64,1217.83,2.0,STILL_OPEN,1.923874714789453
2026-08-20,PNBHOUSING,Bullish Engulfing,A,70,1187.7,1135.72,1265.81,2.0,STILL_OPEN,-0.7072493053801532
2026-08-20,PAYTM,Bullish Engulfing,A,70,1610.02,1543.21,1743.65,2.0,STILL_OPEN,6.116694202556494
2026-08-20,GRASIM,Pin Bar (Stopping Vol),A+,85,3286.21,3216.55,3425.52,2.0,STILL_OPEN,0.41963234242485825
2026-08-21,NYKAA,Pin Bar (Stopping Vol),A+,90,333.21,324.75,348.0,1.75,STILL_OPEN,-0.2580954953332548
2026-08-21,GRASIM,None,A,70,3317.4,3243.5,3465.2,2.0,STOP,-2.2276481581961827
2026-08-24,KALYANKJIL,Bullish Engulfing,A,75,610.1,590.32,648.95,1.96,STILL_OPEN,0.47533191280118015
2026-08-24,SONACOMS,Pin Bar (Stopping Vol),A,75,824.14,800.6,871.23,2.0,STILL_OPEN,-2.15254689737181
