symbol,signal_date,rsi,rsi_ema20,rsi_above_ema20,vol_gt_sma20,vol_gt_sma50,ret_pct
INOXWIND,2021-08-12,60.29638031195672,66.1942072367777,False,False,False,-4.017237467171664
FORTIS,2021-08-27,75.614243907888,62.90524584875204,True,True,True,-9.73429082513272
GODREJCP,2021-08-20,69.93721903677748,62.98504264136603,True,True,True,-5.188029975146224
ADANIENSOL,2021-11-03,61.18904957790812,59.716666284378185,True,True,False,7.269279279163587
PGEL,2021-11-23,52.17609999623143,57.338712914451605,False,True,False,14.047656449352507
KEI,2021-12-14,56.7074828058281,59.88582071853642,False,False,False,-3.164145833529397
TECHM,2022-01-11,57.01113582755315,60.65529830980016,False,False,True,-1.648783792540942
SIEMENS,2022-01-14,57.16196319676196,51.66698510845934,True,True,True,-2.9725548220475573
BSE,2022-01-06,55.078603461738574,58.19735636721295,False,False,False,-2.230216717845668
PIDILITIND,2022-01-21,67.37350681448945,68.08194766286131,False,True,True,-2.130302343975987
NTPC,2022-01-25,59.96397121108269,56.42723120585616,True,False,False,-2.080325480522172
ADANIENSOL,2022-02-22,51.0430080565805,53.46884924186011,False,False,False,-1.7082364981843678
NATIONALUM,2022-02-22,51.33044966149135,57.89562352172829,False,True,True,-0.415985378239081
MARUTI,2022-01-25,69.8609516333802,61.77452343657292,True,True,True,-7.193574386425594
POWERGRID,2022-03-28,54.811107758945916,51.84077798558295,True,False,False,4.558495377749439
BAJAJ-AUTO,2022-04-25,51.55608496770346,56.554441497794386,False,True,True,2.233180569257698
ASHOKLEY,2022-06-07,59.87236849156465,59.589630345598636,True,False,False,-3.051649912859056
CONCOR,2022-06-09,56.454936901688114,49.787439448068135,True,True,True,-4.340180637012681
EICHERMOT,2022-06-09,57.045859431730136,56.152975230925314,True,False,False,-1.8892955948424217
HAL,2022-06-14,63.61794404424242,65.93225951018263,False,False,False,-2.805880531790761
ASHOKLEY,2022-07-15,56.876491600407014,57.62102849187148,False,False,False,3.2466048285698657
ITC,2022-07-01,68.66178885236258,54.52337829786218,True,True,True,10.305135980396196
KEI,2022-08-29,66.64762178864225,64.11163924690003,True,False,False,7.014175708294612
PHOENIXLTD,2022-09-12,61.12230391551964,61.02760830961118,True,False,False,-2.8498325998286838
COLPAL,2022-08-29,64.3326139845413,53.62602463690538,True,True,True,-3.999263659942309
ADANIPOWER,2022-08-29,62.32831670269811,68.25342342022122,False,False,False,-5.003834676929642
ITC,2022-09-19,70.85246922645673,70.13984756556381,True,True,True,-3.009433322084154
EICHERMOT,2022-09-30,60.61609162881377,62.95685845644031,False,False,False,-4.86288809900387
360ONE,2022-09-30,59.77236241210179,59.53290025409132,True,False,True,-4.226129494566511
BRITANNIA,2022-10-20,53.12398575913988,52.65792940503374,True,False,False,-1.0244579319169222
CGPOWER,2022-11-10,54.39890807968188,56.00651198636412,False,False,False,4.247104247104239
ABCAPITAL,2022-11-21,61.648750514549036,63.71590133819899,False,False,False,3.721154829437334
COCHINSHIP,2022-11-22,62.90032365092406,70.65330787898196,False,True,True,-5.7327582576099605
BANKBARODA,2022-12-20,63.75043944913852,70.5740809278189,False,False,False,-2.107130156469872
BANKINDIA,2022-12-26,52.858537739663234,64.19303076784422,False,True,True,-1.870242534727018
VBL,2022-12-29,56.27888381635245,60.47078622421344,False,False,False,-2.442257366478251
GODFRYPHLP,2022-12-28,52.6633186106483,59.30766598911248,False,False,False,10.308138099658958
IDFCFIRSTB,2023-01-11,53.30145892031965,53.49871136726875,False,False,False,-1.803295698925389
JSWSTEEL,2022-11-29,64.62498052463775,60.8796746333861,True,True,True,-3.400752762902437
HINDZINC,2023-02-02,52.35774732194145,58.0142292212028,False,True,True,-1.8331501515990607
TCS,2023-02-15,61.49600082304261,59.712559030106256,True,False,False,-1.6899961422649934
LT,2023-02-10,52.03168692713641,52.64964187885634,False,False,False,-1.009684322842641
PFC,2023-02-28,49.866202184446166,51.33247212791183,False,True,False,10.478696889298943
POLYCAB,2023-05-11,61.854913683356,65.44206639647166,False,True,True,5.501113255365775
LT,2023-04-05,64.09501754893458,51.78330834117425,True,True,True,-4.050311280326735
COFORGE,2023-05-25,61.75491517146239,58.97479272901645,True,False,False,5.440501313390533
GLENMARK,2023-05-31,61.96206890237892,69.73462025794662,False,False,False,2.879234727895996
POLYCAB,2023-05-30,70.42005344647714,67.34449501920857,True,False,True,-3.277612228409399
BAJAJ-AUTO,2023-06-20,54.02562781426116,63.788215821985986,False,True,True,-0.1693004872547199
AUROPHARMA,2023-06-23,68.38741613133365,66.51310235205591,True,True,True,8.269448087032117
HAL,2023-07-07,62.220927067905556,66.27394311451677,False,False,False,4.0968245974797535
ABCAPITAL,2023-07-24,57.4506449827365,57.77763464040065,False,False,True,-2.0624155657635423
HAL,2023-07-28,64.9649670570644,63.00125497801271,True,True,False,-2.9112677716439994
ADANIPOWER,2023-09-21,66.81590906114614,67.86563627098714,False,True,True,-5.343695956358252
NBCC,2023-09-27,59.37290974873979,64.0018374882225,False,False,False,-5.484962150984796
PHOENIXLTD,2023-07-13,69.39079712546031,58.846328615985456,True,True,True,14.674616455381084
POLYCAB,2023-10-13,58.34590104718237,57.7300544069855,True,False,False,-2.2170459658750863
MCX,2023-11-10,70.85992899751875,72.48570555598884,False,True,True,16.468316506961898
GODREJPROP,2023-11-30,64.24870385119607,61.98948256040813,True,True,True,5.509251469667165
CGPOWER,2023-12-13,59.99532475265408,57.93854675986738,True,False,True,-4.477603842083977
COALINDIA,2023-12-19,71.61533984462866,65.61860916916828,True,True,True,-5.745191941485295
NBCC,2024-01-03,68.77295921386941,62.41607932155283,True,True,True,17.730808560540346
BEL,2024-01-18,67.75954588385757,70.56038925383864,False,True,True,-3.1179401212350744
OIL,2024-01-18,64.86739955955963,64.69308796047822,True,True,True,14.064482075258343
HAL,2024-01-03,71.32638957050034,73.28583479272405,False,True,True,8.76409124460611
IOC,2024-02-14,70.22266351965264,73.84950299922215,False,True,True,-8.027844388733374
HEROMOTOCO,2024-03-06,58.53415768171568,58.39871708737772,True,False,False,-2.368616074101648
INDHOTEL,2024-03-26,55.10781892615632,57.77159572100981,False,False,False,5.2443675138053925
BAJAJ-AUTO,2024-04-12,60.740908953882986,63.255259086793195,False,False,False,-1.931477748557442
HAL,2024-05-08,59.22873919867004,66.59233262778761,False,True,True,-1.8773722253193623
PETRONET,2024-05-14,54.511006918594546,58.14403957025812,False,False,False,3.5296806359639943
GODFRYPHLP,2024-05-14,63.74194025428077,57.14412818736257,True,True,True,-8.706246552746165
OBEROIRLTY,2024-06-24,61.63633722918306,64.78056890028033,False,True,True,-2.7483931650462035
GVT&D,2024-07-01,63.173068127823406,64.36920941621752,False,False,False,6.26687578550722
PGEL,2024-07-22,59.676904101328034,67.7893065387767,False,False,False,7.585474782073187
CROMPTON,2024-07-24,66.95180596415838,62.31478229047595,True,True,True,-4.035494203052991
LUPIN,2024-10-08,55.231802937729746,57.209282053650995,False,False,False,-1.710912130230291
MUTHOOTFIN,2024-10-29,52.5167082839537,48.53919276299861,True,True,True,-1.9249933601618752
OFSS,2024-12-02,62.330572516548386,54.08216199320063,True,True,False,-5.493704805259291
ITC,2025-01-30,54.698249568444204,58.322663983939876,False,True,True,5.21856508582581
WIPRO,2025-02-03,59.40624556141964,55.351608285154505,True,False,True,-4.320171941627294
SRF,2025-02-20,57.1362128042424,61.088060270249116,False,False,False,-1.3015807584151218
SRF,2025-03-03,57.51842072716076,58.90047996215266,False,False,False,4.905305504237778
INDIGO,2025-03-04,63.612864592947375,55.55755379001642,True,True,False,7.917943334866706
SBICARD,2025-02-12,62.73108438935348,64.46149585895098,False,True,True,6.058531784636378
MANAPPURAM,2025-04-17,58.51384880736005,60.07573106249172,False,False,False,-1.8005720433204808
MAZDOCK,2025-04-28,61.349550233257965,58.93615563898568,True,True,True,11.607145404467476
MANAPPURAM,2025-04-28,57.9329956122269,59.06733208969415,False,False,False,-2.083769737464103
INDIGO,2025-05-02,58.668399685629886,63.94049023776805,False,False,False,-2.2055289630344754
BAJFINANCE,2025-05-07,52.44260203773323,55.28379545479916,False,False,False,-0.8787593523385206
MAZDOCK,2025-05-09,58.092346479161364,60.453846537255096,False,True,True,6.791875538667136
BAJAJFINSV,2025-05-15,55.40507995410708,55.955387707814936,False,True,True,-1.9659737226058185
MANAPPURAM,2025-05-22,52.72691453903395,54.0186263432639,False,False,False,2.175416498529969
GODFRYPHLP,2025-05-30,59.483197311377985,59.38797755074289,True,True,True,-3.6224922278824345
BEL,2025-06-13,69.86640880727667,75.52700886522194,False,True,True,5.972819783878203
CDSL,2025-06-20,60.99428313863877,68.30438274572008,False,False,False,3.4881817816109884
PNBHOUSING,2025-07-07,54.362956997211725,55.675014817970116,False,False,False,-1.0053237372231516
BAJFINANCE,2025-07-08,51.46809055352251,52.0455045887293,False,False,False,-0.7490669912602277
ABCAPITAL,2025-07-21,58.875112124014514,65.19823065235778,False,False,False,-1.375960237974172
360ONE,2025-06-13,71.34968226158557,59.86803001706224,True,True,True,-8.28932783917905
MUTHOOTFIN,2025-08-04,58.33170997559351,59.9437311667022,False,True,True,-1.5250648392035715
ETERNAL,2025-09-01,63.59904247091616,64.90052334695595,False,False,False,5.112375807566116
LTF,2025-09-29,64.1869766884601,70.38133128074826,False,True,True,6.252860741910404
EICHERMOT,2025-10-10,62.81834308387653,69.44066865382497,False,False,False,-1.244603031789393
ABCAPITAL,2025-10-13,57.10526670603404,57.55471314733151,False,True,True,4.074511724566521
MARUTI,2025-10-10,68.85497809719394,71.22661682929318,False,False,False,-2.427175302461937
NATIONALUM,2025-11-07,59.65225699695207,64.11398215917681,False,True,True,4.3016165361158265
MUTHOOTFIN,2025-11-07,59.35852461815303,59.54783073399082,False,False,False,4.077045475063867
IDFCFIRSTB,2025-11-07,69.38924220257394,65.94135151002435,True,True,True,-3.609596472462795
BANKBARODA,2025-11-14,64.28166003709288,65.67521216426161,False,False,False,-2.437468276275867
LTF,2025-11-24,60.33572345117017,66.62242913010046,False,False,False,4.374271120471707
ABCAPITAL,2025-11-24,60.18237797007051,62.38393159089467,False,False,False,3.1851679670026334
BANKBARODA,2025-12-17,52.83525110424189,55.22892564149032,False,True,True,-1.0062282016298552
CUMMINSIND,2025-12-29,48.0770362915136,55.356427418766955,False,True,False,-0.564151442785632
SBIN,2025-12-30,56.1014442640215,56.87253694323443,False,True,True,2.211858046105042
BANKBARODA,2025-12-30,57.22213263939539,55.096245575016376,True,True,True,3.2649984453008374
M&M,2025-12-30,52.694057182061925,48.86337541066734,True,True,False,3.3519629998446154
APLAPOLLO,2026-01-14,62.58856555118295,63.68650496770612,False,True,True,-2.6197024660063906
ASHOKLEY,2026-01-19,68.24765690193935,71.79131421179913,False,False,False,-2.6557786419674434
INDIANB,2026-02-16,55.07494969833923,55.96230226992133,False,False,False,3.101273005376104
BANKINDIA,2026-02-16,57.62526366099457,58.8990440326165,False,False,False,4.7054842534812735
UNIONBANK,2026-02-16,63.73309110933219,61.71354684932034,True,False,False,7.074183814055401
ASHOKLEY,2026-02-20,62.4545291069843,65.47450723696025,False,False,False,-2.771830883984283
TORNTPHARM,2026-03-09,64.43397254145714,64.7131253381252,False,True,True,-2.191166249894083
BSE,2026-03-16,54.36982303072402,50.38794046891092,True,False,False,-3.503307283607593
JSWENERGY,2026-03-12,63.92079058745397,52.55482114909573,True,True,True,-7.84797061157263
ONGC,2026-03-19,52.01941962518929,54.894681195942326,False,True,True,-1.4919805342765269
COALINDIA,2026-05-11,54.43882909729639,56.45179983966847,False,False,False,-0.9856810505066926
AUROPHARMA,2026-05-05,64.0592486971685,64.07876454576012,False,True,True,5.985039452937069
OFSS,2026-05-15,64.34389951838509,71.69746936670163,False,False,True,5.458683333213021
NAM-INDIA,2026-05-20,62.124485205045744,60.36073195629365,True,False,False,-3.969049177035544
CGPOWER,2026-05-05,65.72501250454278,64.41933016709702,True,True,True,8.450299569591646
CUMMINSIND,2026-05-20,60.65270831607437,60.46542060419283,True,True,False,5.585335713660866
HINDALCO,2026-05-20,60.425017473081404,60.081876868888436,True,True,True,6.259739349644655
HINDZINC,2026-05-26,60.992058303762136,59.03750265732284,True,True,True,-2.636109042770751
RBLBANK,2026-04-28,55.22980114644119,53.099830119297074,True,True,True,8.292336769270992
ADANIPOWER,2026-06-18,56.183702524588384,56.2710396154078,False,True,True,-3.534155611221545
LAURUSLABS,2026-06-19,63.83960135049657,66.44108041863842,False,True,True,6.352240625618943
ADANIENSOL,2026-07-01,57.16270704514561,58.28762007515902,False,False,False,4.718324855531475
