symbol,entry_date,ret_pct,win,score,rsi,rvol,er14,risk_pct,holding_days,wick_ratio,body_ratio
MOTILALOFS,2021-07-29,-6.353318168741106,False,75.0,62.84606246385991,0.4680552912927865,0.22807017543859626,6.353318168741105,1,79.86577181208051,9.060402684563924
MPHASIS,2021-09-14,11.505471512135124,True,75.0,66.90309445668541,0.8072171036697644,0.18991496344920153,5.75273575606756,9,74.25675675675681,16.216216216216218
TCS,2021-09-22,-1.6790472599520712,False,80.0,63.86373173869222,0.6083777746223363,0.120037658873372,1.679047259952066,5,72.84569138276522,9.919839679358335
JUBLFOOD,2021-09-22,-4.3084302885530334,False,85.0,62.53222683578078,1.031969593616062,0.24878048780487816,4.308430288553035,6,68.18897637795268,21.417322834645528
HINDALCO,2021-10-04,6.1819437761433615,True,75.0,58.150349904952435,0.7282348539744691,0.04735595895816889,3.0909718880716763,10,76.89243027888466,9.960159362549792
ONGC,2021-10-25,-3.0474599860821128,False,85.0,60.797371109625665,0.7179483919161113,0.20591341077085523,2.9693633677916624,3,65.71428571428604,1.4285714285709414
GMRAIRPORT,2021-11-08,-3.3955042897456766,False,75.0,55.89364282355156,0.12134975074614059,0.20754716981132004,3.3955042897456718,7,60.86956521739163,8.69565217391256
TMPV,2021-11-02,4.630824372759856,True,80.0,64.74717275315032,0.5089137989115566,0.2739687055476528,4.710822844749754,15,79.92700729927006,3.6496350364963535
BSE,2021-11-30,20.60217846894432,True,80.0,58.196734407397656,1.108339153409905,0.26126126126126126,10.301089234472165,2,64.70588235294117,2.941176470588235
PGEL,2021-12-21,18.191403597114373,True,70.0,57.50684951768912,0.9596110778334279,0.2933507170795305,9.095701798557183,7,69.09090909090904,21.81818181818187
TORNTPHARM,2021-12-21,5.011638777848382,True,80.0,55.76439046657537,0.40458067166061573,0.05280392959476087,3.169475114741285,10,70.27677496991556,9.265944645006305
CHOLAFIN,2022-02-16,-4.941114588689222,False,80.0,59.338604210754994,0.6046835446924068,0.12491498526411227,4.941114588689218,19,74.0237691001699,19.694397283531224
JINDALSTEL,2022-03-09,9.71937392921236,True,75.0,58.812954284822254,0.8660692478751167,0.17842605156037997,4.859686964606183,12,84.04255319148936,9.84042553191501
JINDALSTEL,2022-04-29,-2.921858731643168,False,85.0,57.74308503290949,0.9029598253996064,0.14696337505795073,2.9218587316431686,3,67.9389312977105,2.671755725190141
ADANIPOWER,2022-05-27,-12.243504996156796,False,80.0,63.38193625745878,1.140943819151246,0.12482468443197767,9.708687148166065,7,81.41592920353973,18.584070796460257
ASHOKLEY,2022-06-07,-3.0825006421941525,False,75.0,58.305808133241754,0.5614690093217437,0.24770642201834908,3.0825006421941556,6,64.70588235294157,5.882352941176126
BDL,2022-06-07,-5.849526184538645,False,70.0,58.920699962696915,0.5407106627694533,0.2685185185185184,5.560825878776692,13,81.46214099216702,18.537859007832978
VBL,2022-06-28,14.492878481295769,True,75.0,59.332844262589575,0.4291503981884065,0.21612903225806487,7.246439240647884,22,93.26923076923089,6.730769230769118
VBL,2022-07-29,6.677048674378305,True,80.0,63.13835253549519,0.5405728933029378,0.148197596795728,3.3385243371891486,4,63.999999999999766,5.0
PHOENIXLTD,2022-08-12,6.748796151788206,True,90.0,57.714880219233564,1.7059998555991431,0.26489226869455074,5.071953788122244,10,78.79310344827594,21.206896551724057
