symbol,entry_date,ret_pct,win,pattern,score,grade,rrr,rvol,holding_days
HAL,2022-06-15,-3.0108976046328007,False,Bullish Engulfing,70.0,A,2.0,0.6641475958325821,1
EICHERMOT,2022-06-10,-4.266317953616561,False,Bullish Engulfing,70.0,A,2.0,0.5975009165201985,7
SIEMENS,2022-05-27,-3.5120312964125437,False,Pin Bar (Stopping Vol),70.0,A,1.910348901041648,0.5411483461174569,24
BDL,2022-06-07,-5.849526184538645,False,Pin Bar (Stopping Vol),75.0,A,2.369504853254022,0.5407106627694533,13
VBL,2022-06-28,14.492878481295769,True,Pin Bar (Stopping Vol),80.0,A,2.0,0.4291503981884065,22
PHOENIXLTD,2022-07-25,-4.198606936350102,False,Morning Star,75.0,A,2.0,0.7059308388030799,1
ASHOKLEY,2022-07-18,5.937076367953864,True,Bullish Engulfing,70.0,A,2.0,0.6493472883492137,11
ITC,2022-07-04,10.445721833552746,True,Bullish Engulfing,85.0,A+,2.0,2.7356262037075947,29
VBL,2022-07-29,6.677048674378305,True,Pin Bar (Stopping Vol),80.0,A,2.0,0.5405728933029378,4
NESTLEIND,2022-07-21,5.173791533744687,True,Pin Bar (Stopping Vol),75.0,A,2.0,1.063245638860604,14
PHOENIXLTD,2022-08-12,6.748796151788206,True,Pin Bar (Stopping Vol),95.0,A+,2.0,1.7059998555991431,10
DABUR,2022-08-16,-2.6529317108183403,False,Pin Bar (Stopping Vol),80.0,A,2.0,0.8679943744476395,10
KEI,2022-08-30,12.04094632474757,True,Bullish Engulfing,70.0,A,2.0,0.41353942499879864,13
UNOMINDA,2022-09-07,-3.8202979652847135,False,Pin Bar (Stopping Vol),80.0,A,2.0,0.713921904921821,8
PHOENIXLTD,2022-09-13,-3.1700161789756764,False,Bullish Engulfing,70.0,A,2.0,0.43335160948564116,2
CGPOWER,2022-09-12,7.744511457519243,True,Pin Bar (Stopping Vol),70.0,A,3.1180073790714027,0.7693479333722499,8
TIINDIA,2022-09-20,8.826720016289169,True,Pin Bar (Stopping Vol),75.0,A,2.0,0.4801043666559184,3
ITC,2022-09-20,-3.057551896921973,False,Bullish Engulfing,75.0,A,2.0,1.199187375905984,8
ADANIPOWER,2022-08-30,-10.990875000000011,False,Bullish Engulfing,70.0,A,2.0,0.4150399650463375,34
BRITANNIA,2022-10-06,-1.8047064955371672,False,Pin Bar (Stopping Vol),75.0,A,2.0,0.39613569736659304,1
COLPAL,2022-08-30,-6.027265877375276,False,Bullish Engulfing,85.0,A+,2.0,5.750814512225151,42
BRITANNIA,2022-10-10,-2.0519241210039563,False,Pin Bar (Stopping Vol),80.0,A,2.0,0.824960179543696,1
360ONE,2022-10-03,-7.280395252909145,False,Bullish Engulfing,70.0,A,2.0000000000000018,0.9350599236390461,22
VBL,2022-11-01,12.712264150943398,True,Pin Bar (Stopping Vol),70.0,A,4.705686238192852,0.7706044797392945,2
AXISBANK,2022-11-09,-2.2057697934264158,False,Pin Bar (Stopping Vol),80.0,A,2.0,0.7006935470275601,1
BDL,2022-11-07,-4.995587594057438,False,Bullish Engulfing,80.0,A,2.000000000000002,1.4967714551695839,7
PHOENIXLTD,2022-11-07,-8.626989378913851,False,Bullish Engulfing,80.0,A,2.0,1.0163269664012482,15
ABCAPITAL,2022-11-21,5.396288810990413,True,Pin Bar (Stopping Vol),80.0,A,2.0,0.4726639157633461,4
BEL,2022-10-27,-2.356460758424117,False,Pin Bar (Stopping Vol),85.0,A+,3.533711591049092,0.6682590747284756,49
360ONE,2022-12-16,-2.7536677738880355,False,Pin Bar (Stopping Vol),75.0,A,1.65613866076876,0.0914139817339068,4
ABCAPITAL,2022-12-19,-3.966666296664168,False,Pin Bar (Stopping Vol),80.0,A,2.0,0.5263980586461305,2
COCHINSHIP,2022-11-23,-10.841120651242854,False,Bullish Engulfing,90.0,A+,2.0,2.095044421811501,29
PIIND,2022-11-28,-2.053590473716338,False,Pin Bar (Stopping Vol),85.0,A+,4.032695909396062,0.43781952762898724,37
PNB,2023-01-06,-3.5626585380111653,False,Pin Bar (Stopping Vol),80.0,A,2.2549568104787308,0.5936471584295566,4
CGPOWER,2023-01-09,5.882352941176472,True,Pin Bar (Stopping Vol),75.0,A,3.052635368221659,0.6116261063605709,1
AXISBANK,2022-12-29,-1.9987157458481009,False,Pin Bar (Stopping Vol),75.0,A,2.0,0.4302018092713004,18
IDFCFIRSTB,2023-01-12,-3.597301321211266,False,Bullish Engulfing,70.0,A,1.8681231853197053,0.4738059291636431,13
JSWSTEEL,2022-11-30,-3.404714126992736,False,Bullish Engulfing,85.0,A+,2.0,1.5929511838938955,58
HINDZINC,2023-02-03,-5.448471385981235,False,Bullish Engulfing,80.0,A,2.0,1.0127125341015422,5
COFORGE,2023-02-07,-2.4133414700491462,False,Pin Bar (Stopping Vol),75.0,A,2.0,0.3420555692794235,6
PFC,2023-02-09,-2.097871891454939,False,Pin Bar (Stopping Vol),75.0,A,5.711793704870198,0.31640961573613946,4
HDFCBANK,2023-02-14,-1.422774774774771,False,Pin Bar (Stopping Vol),80.0,A,1.5910372373804813,0.37394127291777385,6
TCS,2023-02-16,-2.219377049495685,False,Bullish Engulfing,70.0,A,2.0,0.87239292367974,5
LT,2023-02-13,-1.9147123887938824,False,Bullish Engulfing,75.0,A,2.947203607871047,0.5865215381700866,11
BRITANNIA,2023-02-03,-5.296930672621425,False,Pin Bar (Stopping Vol),95.0,A+,2.0,4.918913829727514,26
PFC,2023-03-01,10.478696889298943,True,Bullish Engulfing,75.0,A,3.319020903279226,1.0924140944309721,5
CUMMINSIND,2023-03-06,3.429425883342696,True,Pin Bar (Stopping Vol),80.0,A,1.658935403740613,0.5181088290419095,2
GODREJCP,2023-02-02,-4.704589939421389,False,Pin Bar (Stopping Vol),95.0,A+,2.0,2.1087467307998162,36
VBL,2023-03-24,7.496371814900393,True,Pin Bar (Stopping Vol),75.0,A,2.0,0.6656259988853093,12
GODREJCP,2023-04-05,-3.0380186835512912,False,Pin Bar (Stopping Vol),75.0,A,2.0,0.7354338762329711,23
HAL,2023-04-06,5.981611450931856,True,Pin Bar (Stopping Vol),75.0,A,1.9377809612696628,0.5614058597019682,22
PFC,2023-04-06,8.052601059393316,True,Pin Bar (Stopping Vol),80.0,A,2.353763151876493,0.6265344059807223,26
ABCAPITAL,2023-05-11,-3.78909512761022,False,Pin Bar (Stopping Vol),75.0,A,2.0,0.7649846923661002,1
AUROPHARMA,2023-05-16,-2.921366158422789,False,Pin Bar (Stopping Vol),80.0,A,2.0,0.5451269531302886,2
ITC,2023-05-15,-1.933652026114252,False,Pin Bar (Stopping Vol),85.0,A+,2.0,1.1298563383945952,4
PRESTIGE,2023-05-25,-2.806743330054118,False,Pin Bar (Stopping Vol),75.0,A,2.000000000000004,0.4698787510998927,1
POLYCAB,2023-05-12,6.0297585801794895,True,Bullish Engulfing,85.0,A+,2.0,2.25598156895507,18
COFORGE,2023-05-26,5.83188733691713,True,Bullish Engulfing,70.0,A,2.0,0.7761652825802212,5
GLENMARK,2023-06-01,4.2307065105281705,True,Bullish Engulfing,70.0,A,2.0,0.34740857365523165,5
OFSS,2023-05-23,4.057473097857667,True,Pin Bar (Stopping Vol),80.0,A,1.99016442638297,0.3537638187768636,21
LT,2023-04-06,9.41875505299803,True,Bullish Engulfing,80.0,A,2.0,1.2252833877122749,85
ASTRAL,2023-06-26,-2.67619887701166,False,Pin Bar (Stopping Vol),80.0,A,2.0000000000000044,0.9009812059508718,8
POLYCAB,2023-05-31,7.377587881867753,True,Bullish Engulfing,70.0,A,2.0,0.9927086281767664,41
GODREJPROP,2023-06-27,7.138827677175708,True,Morning Star,80.0,A,2.0,0.6890756977912929,17
ABCAPITAL,2023-07-13,-4.134948375556213,False,Morning Star,80.0,A,2.0,0.9797047226093614,5
BAJFINANCE,2023-07-17,-1.9952935156703044,False,Pin Bar (Stopping Vol),75.0,A,2.0,0.6119642806909856,1
AUROPHARMA,2023-06-26,10.901007127827578,True,Bullish Engulfing,90.0,A+,2.0,1.9791198793911007,25
BAJFINANCE,2023-07-19,-1.721202279886902,False,Pin Bar (Stopping Vol),80.0,A,2.0,0.44376547012768425,7
HAL,2023-07-10,4.0968245974797535,True,Bullish Engulfing,70.0,A,1.6903953067861675,0.7329076732479111,21
HEROMOTOCO,2023-07-21,3.321214866221766,True,Pin Bar (Stopping Vol),80.0,A,1.6134091473129006,0.7937258287525714,10
HAL,2023-07-31,-3.3796821904051866,False,Bullish Engulfing,80.0,A,2.0000000000000036,1.3100187188919838,2
FORTIS,2023-07-31,-2.7076725272402347,False,Pin Bar (Stopping Vol),75.0,A,2.0,0.4641236447803636,2
ABCAPITAL,2023-07-25,-2.793810447980916,False,Bullish Engulfing,70.0,A,1.713866893375888,0.8083524021651867,13
POLYCAB,2023-08-04,-3.181326786456884,False,Pin Bar (Stopping Vol),80.0,A,1.8451277848235275,0.39297877088151956,7
OBEROIRLTY,2023-08-02,-4.749343221656533,False,Pin Bar (Stopping Vol),95.0,A+,2.0,2.460383619995063,12
GLENMARK,2023-08-17,-3.673893585280963,False,Pin Bar (Stopping Vol),80.0,A,2.0,0.9032398141981982,1
BEL,2023-08-08,4.8843617964803965,True,Pin Bar (Stopping Vol),75.0,A,2.0,0.5542748383788964,17
IDFCFIRSTB,2023-08-17,5.818597770382561,True,Pin Bar (Stopping Vol),80.0,A,2.0,0.5912789305939549,14
COFORGE,2023-08-30,8.05149562847296,True,Pin Bar (Stopping Vol),75.0,A,2.0,0.6418878510256243,7
RECLTD,2023-09-04,9.51018131766368,True,Pin Bar (Stopping Vol),75.0,A,2.0,0.4746413416447262,4
COFORGE,2023-09-14,-2.518042168401591,False,Pin Bar (Stopping Vol),80.0,A,2.0,0.17457360722122148,7
SHRIRAMFIN,2023-09-08,-2.2508638743455656,False,Pin Bar (Stopping Vol),85.0,A+,2.0,1.0259690841281985,17
ADANIPOWER,2023-09-22,-5.932028762254127,False,Bullish Engulfing,75.0,A,2.0,1.2090484385950881,11
IDFCFIRSTB,2023-09-26,-2.627366972612588,False,Pin Bar (Stopping Vol),80.0,A,2.4100070335157904,0.5435546753266118,8
PHOENIXLTD,2023-07-14,15.98681500947874,True,Bullish Engulfing,90.0,A+,2.0,4.6907086486680045,91
POLYCAB,2023-10-16,-2.8478255718373813,False,Bullish Engulfing,70.0,A,2.0,0.6970554195020526,3
LICHSGFIN,2023-10-10,-2.807814703857625,False,Pin Bar (Stopping Vol),75.0,A,2.0,0.5753113811392234,13
MCX,2023-10-27,9.574609878355812,True,Pin Bar (Stopping Vol),75.0,A,2.0,0.48256253594182186,7
UNIONBANK,2023-11-12,8.286074354127294,True,Pin Bar (Stopping Vol),85.0,A+,4.031537543677983,0.4093882578753137,3
MCX,2023-11-12,18.04148216367105,True,Bullish Engulfing,85.0,A+,2.0,2.2953063151564708,16
NBCC,2023-10-27,13.092932089276577,True,Pin Bar (Stopping Vol),85.0,A+,2.0,1.0479533755672683,34
BEL,2023-11-29,2.800740790534117,True,Pin Bar (Stopping Vol),75.0,A,2.0,0.8872864838386932,1
POLYCAB,2023-11-12,6.05604301199818,True,Pin Bar (Stopping Vol),75.0,A,2.625686404711509,0.4837900690853643,26
PERSISTENT,2023-11-15,4.750922766036614,True,Pin Bar (Stopping Vol),80.0,A,2.0,0.9430455507622353,27
GODREJPROP,2023-12-01,6.936442983190738,True,Bullish Engulfing,80.0,A,2.0,1.0916049743460698,13
RECLTD,2024-01-01,9.033138119785722,True,Pin Bar (Stopping Vol),85.0,A+,3.2235440050227204,0.39474652566136714,19
NBCC,2024-01-04,20.964396097284,True,Bullish Engulfing,90.0,A+,2.0000000000000013,4.258372397049784,19
RECLTD,2024-01-20,-6.464737991266379,False,Morning Star,95.0,A+,2.0,2.0591505154147844,3
ADANIPOWER,2024-01-23,-2.768382352941179,False,Pin Bar (Stopping Vol),75.0,A,1.7652551018051783,0.5145354329419976,1
COALINDIA,2023-12-20,13.404290114779592,True,Bullish Engulfing,85.0,A+,2.0,2.2613853224555647,44
RVNL,2024-02-07,-8.093114596246842,False,Pin Bar (Stopping Vol),80.0,A,2.0,0.3030995557044505,2
OIL,2024-02-14,15.1395827809808,True,Pin Bar (Stopping Vol),75.0,A,2.0,0.9536719547787983,1
GODFRYPHLP,2024-02-12,10.221516652704013,True,Pin Bar (Stopping Vol),80.0,A,2.0,0.37237383194833445,7
ABB,2024-02-21,7.544181034482755,True,Pin Bar (Stopping Vol),70.0,A,3.989093519505489,0.6601177248703056,1
HAL,2024-01-04,9.478367613246784,True,Bullish Engulfing,80.0,A,2.0,1.1020739871189291,55
BPCL,2024-02-26,-3.7556877106951214,False,Pin Bar (Stopping Vol),80.0,A,2.0,0.8281360176120679,2
ONGC,2024-02-15,-5.962626062883125,False,Morning Star,85.0,A+,1.999999999999998,1.2619868596984871,27
BPCL,2024-03-02,-3.45016753900379,False,Morning Star,85.0,A+,2.688331445231607,0.5612430633863332,11
