symbol,entry_date,exit_date,reason,sector,ret_pct,pnl,holding_days,entry_rsi,entry_atr_pct,entry_mom_3m,entry_pct_52w_high,entry_vol_expansion,entry_month,entry_dow,win
OBEROIRLTY,2021-01-01,2021-01-15,rebalance,NIFTY REALTY,-5.168615488900185,-6191.5,14,71.05759785886553,4.328696703455227,24.1588077773897,1.0,0.8416133791642719,1,Friday,False
GODREJPROP,2021-01-01,2021-01-15,rebalance,NIFTY REALTY,-3.149413207216678,-2517.2000000000025,14,68.68251001557014,3.954288378326934,37.593302400645555,0.9965785706804454,0.8470442780091241,1,Friday,False
TATASTEEL,2021-01-01,2021-01-18,rebalance,NIFTY METAL,3.8604180714767455,4630.379999999998,17,70.08864027001093,3.0895036154189994,33.90186915887852,0.9991578238167426,0.7982933837612317,1,Friday,True
SAIL,2021-01-15,2021-01-18,rebalance,NIFTY METAL,-5.987170349251603,-5145.000000000004,3,56.15024843119159,5.6505674254941685,78.97793263646922,0.8846153846153847,1.615391704727304,1,Friday,False
DIXON,2021-01-01,2021-01-22,stop,NIFTY CONSR DURBL,1.5045657965367054,1188.72132626454,21,69.38847927442286,3.736704106066261,27.995974336394514,0.9931285883532307,0.9883824492468893,1,Friday,True
VEDL,2021-01-15,2021-01-22,rebalance,NIFTY METAL,-6.60377358490567,-6943.300000000008,7,65.46195510393848,4.768810870199297,73.90326209223845,0.9398353388220393,1.1573187112095944,1,Friday,False
RVNL,2021-01-18,2021-01-22,rebalance,,-7.359999999999999,-6219.200000000002,4,66.14845547330853,5.515318036312507,67.3860911270983,0.8954154727793696,2.2728093128271425,1,Monday,False
KPITTECH,2021-01-01,2021-01-25,stop,NIFTY MS IT TELCM,-11.660344518306786,-13977.103389615608,24,72.71688370449507,5.830172259153393,22.444786851566523,1.0,1.830120921392722,1,Friday,False
PERSISTENT,2021-01-01,2021-01-25,stop,NIFTY MS IT TELCM,-0.119891030968422,-95.1608682285057,24,75.29921154567178,3.833352328937915,29.828018631314947,0.9772905246671886,1.0127974844408258,1,Friday,False
ASHOKLEY,2021-01-22,2021-01-27,stop,NIFTY AUTO,-8.290841177255437,-7159.124774877717,5,70.36792189346161,4.167527443327856,27.0509977827051,1.0,1.0657372553474116,1,Friday,False
DLF,2021-01-01,2021-01-27,rebalance,NIFTY REALTY,8.558842039018245,6976.800000000002,26,66.47955517037593,4.058996527578751,23.61946418808092,0.906790945406125,1.1975829689476398,1,Friday,True
MPHASIS,2021-01-25,2021-01-27,rebalance,NIFTY MS IT TELCM,-0.3477193700143322,-285.60000000000764,2,53.2290869350705,4.367379338361861,23.453355155482814,0.9343228436743535,1.1844359689904695,1,Monday,False
KPITTECH,2021-01-25,2021-01-28,rebalance,NIFTY MS IT TELCM,-0.5237560793116436,-535.5000000000131,3,52.63750980069743,5.539657180672987,22.247918593894546,0.918872464764524,1.2742068766342523,1,Monday,False
WIPRO,2021-01-22,2021-01-29,stop,NIFTY IT,-6.352620298024203,-5414.500271823628,7,68.83024946408852,3.176310149012102,21.747967479674802,0.9687784867821331,1.6195340231792008,1,Friday,False
HAVELLS,2021-01-27,2021-01-29,stop,NIFTY CONSR DURBL,-4.532037252264621,-3742.905329788552,2,78.99035282390061,3.1277139833928755,23.419714216517317,0.9859534431732849,1.0828496316874088,1,Wednesday,False
APLAPOLLO,2021-01-01,2021-01-29,rebalance,NIFTY METAL,5.443126308443835,6528.6000000000095,28,69.93862809184103,4.156351969972847,16.62835249042145,0.9737259343148358,1.3186354354250174,1,Friday,True
ADANIENT,2021-01-01,2021-01-29,rebalance,NIFTY METAL,3.149937001259984,2550.0,28,68.89230603864075,4.3940473993674765,31.53824119163562,1.0,0.9380627965547038,1,Friday,True
IDFCFIRSTB,2021-01-22,2021-02-01,stop,NIFTY MS FIN SERV,-10.280807385146751,-8844.157080338955,10,68.50367065861235,5.1430630123670324,31.123139377537214,0.9620991253644314,1.5021349946243119,1,Friday,False
CROMPTON,2021-01-27,2021-02-01,rebalance,NIFTY CONSR DURBL,-2.709963789276959,-2250.400000000004,5,66.20246320916704,5.4070582533026466,19.338768115942038,0.9834577828834004,0.6650211842010901,1,Wednesday,False
HAVELLS,2021-01-29,2021-02-01,rebalance,NIFTY CONSR DURBL,1.6702560421153478,1361.1000000000035,3,55.07113573681495,4.448973718480594,37.397584511743645,0.8840702348212397,1.3473505857152555,1,Friday,True
RVNL,2021-01-28,2021-02-02,rebalance,,-1.6583747927031545,-1686.5,5,57.71609088127261,5.926744652230257,32.33404710920769,0.8638968481375359,2.2275603287510863,1,Thursday,False
KPITTECH,2021-01-29,2021-02-02,rebalance,NIFTY MS IT TELCM,-5.497198879551835,-6727.45000000002,4,60.77576307724588,5.344610485231562,23.767214571301665,0.9817806806462703,0.9912111674294045,1,Friday,False
NATIONALUM,2021-02-01,2021-02-09,rebalance,NIFTY METAL,-0.3107520198881386,-259.3500000000098,8,63.114827226104744,4.485583474826177,11.483019789885173,1.0,1.3193788927078927,2,Monday,False
ASHOKLEY,2021-02-02,2021-02-12,rebalance,NIFTY AUTO,-3.2182103610675084,-4130.750000000008,10,70.49384101806045,5.0367545808577034,26.00896860986548,1.0,1.2150428841057845,2,Tuesday,False
