symbol,entry_date,entry_price,ema13,ema21,atr,dist13_atr,dist21_atr,nearest_ema_dist_atr,dist13_pct,dist21_pct,ret_pct,pnl,win
SRF,2021-08-30,1942.6,1814.3072213139708,1774.741514403506,56.438340777155275,2.273149368309541,2.974192424601513,2.273149368309541,6.604178867807533,8.64091864493431,4.393596211263273,5206.350000000009,True
PERSISTENT,2021-08-30,1661.672549019608,1602.6151517979363,1578.8939126737907,45.636593284321535,1.2940798813298104,1.8138653740014332,1.2940798813298104,3.554093570151092,4.981645535075899,6.269433231105426,5313.049999999992,True
CAMS,2021-08-30,717.6,657.33225080454,651.4033913514124,30.238147905107585,1.9931031948315892,2.189175370671634,1.9931031948315892,8.398515774172248,9.22472249840964,0.431995540691199,350.30000000000257,True
SRF,2021-09-06,2046.1,1933.5208218562173,1873.3164931627282,61.95176574896678,1.817206931598398,2.789000519168469,1.817206931598398,5.502134702301094,8.444528949575862,9.716045159083151,8747.200000000008,True
PERSISTENT,2021-09-15,1826.85,1734.0678614237177,1693.6424497935654,46.98824670078923,1.9745818388819314,2.8349121229117293,1.9745818388819314,5.078804421615472,7.2916523089708765,1.1413088102471436,1125.9000000000074,True
JSWENERGY,2021-08-30,252.2,238.72259081558587,234.80545299421198,12.089548436305048,1.1147983942842155,1.4388086616661377,1.1147983942842155,5.34393702791995,6.8971241101459215,28.25138778747027,33843.75,True
TATAELXSI,2021-08-30,4826.75,4666.66494561287,4560.295960483071,148.07153868103075,1.0811331861147093,1.799495310782935,1.0811331861147093,3.3166220414798815,5.5203613097203865,13.754596778370544,10622.399999999994,True
ADANIENSOL,2021-09-17,1820.35,1746.7210335071702,1620.3858470032264,85.69483629391496,0.8591995699752327,2.3334445999866222,0.8591995699752327,4.0447697691559155,10.984928887124646,-9.748125360507586,-12598.949999999986,False
APOLLOHOSP,2021-08-31,4969.55,4651.256208693855,4498.139250085908,164.02831509306793,1.9404807708080678,2.873959594394531,1.9404807708080678,6.404881554791582,9.485984644768477,-4.784135384491551,-5706.0,False
MAXHEALTH,2021-08-30,361.0,328.21182279996367,317.9166512922703,15.015534394827036,2.18361706868935,2.8692517745204102,2.18361706868935,9.082597562336932,11.934445625409897,-0.5678670360110827,-680.6000000000038,False
COFORGE,2021-08-30,1024.4814814814815,990.9238511971608,976.8856883057459,34.35649404804994,0.9767478089408077,1.3853507028152983,0.9767478089408077,3.2755721690345916,4.6458422173632945,5.712013303929719,4739.999999999996,True
KPITTECH,2021-08-30,335.65,326.3152801893286,318.45278161769676,18.200090950192855,0.5128941298269989,0.9448973870166836,0.5128941298269989,2.781087385869627,5.123556794965952,0.7150305377625621,856.8000000000122,True
