symbol,entry_date,entry_price,qty,stop,as_of_date,last_close,unrealized_pnl,unrealized_ret_pct
LAURUSLABS,2026-06-08,1404.7,423,1734.8291599999998,2026-08-24,1801.0,167634.9,28.212429700291874
KALYANKJIL,2026-07-24,573.55,995,561.6105533399065,2026-08-24,607.95,34228.00000000009,5.997733414697959
DIVISLAB,2026-07-24,7248.5,78,8147.8628,2026-08-24,8496.0,97305.0,17.21045733600055
COFORGE,2026-07-29,1714.9,341,1673.218,2026-08-24,1873.0,53912.09999999997,9.219196454603761
NAUKRI,2026-08-04,1260.0,464,1139.3362200000006,2026-08-24,1349.0,41296.0,7.063492063492061
SONACOMS,2026-08-13,799.9,738,755.522,2026-08-24,813.5,10036.800000000017,1.7002125265658252
HAL,2026-08-13,4945.0,119,4554.472520000001,2026-08-24,4906.0,-4641.0,-0.7886754297269927
